2022-10-25 16:31:09,400 | INFO | Threshold of 18.00 provides Large bucket size: 18, Small Bucket size: 46, Extra Bucket size: 9
2022-10-25 17:29:09,742 | INFO | PCA Finished
2022-10-25 17:29:09,742 | INFO | GridSearchCV Starting
2022-10-25 17:29:10,654 | INFO | Best parameter set: {'C': 86, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}
2022-10-25 17:29:10,654 | INFO | -------------------------

2022-10-25 17:29:10,655 | INFO | Train MCC Score: 0.733.  StDev for Train MCC: 0.022.  Test MCC Score: 0.321.  StDev for Test MCC: 0.184.

2022-10-25 17:29:10,655 | INFO | Training:
2022-10-25 17:29:10,656 | INFO | Training Finished.
2022-10-25 17:29:10,658 | INFO | Training Accuracy: 0.828, Training MCC: 0.665, Validation Accuracy: 0.733, Validation MCC: 0.498, Fold: 1
2022-10-25 17:29:10,658 | INFO | Training:
2022-10-25 17:29:10,659 | INFO | Training Finished.
2022-10-25 17:29:10,661 | INFO | Training Accuracy: 0.845, Training MCC: 0.699, Validation Accuracy: 0.667, Validation MCC: 0.339, Fold: 2
2022-10-25 17:29:10,661 | INFO | Training:
2022-10-25 17:29:10,662 | INFO | Training Finished.
2022-10-25 17:29:10,663 | INFO | Training Accuracy: 0.879, Training MCC: 0.763, Validation Accuracy: 0.533, Validation MCC: 0.141, Fold: 3
2022-10-25 17:29:10,663 | INFO | Training:
2022-10-25 17:29:10,664 | INFO | Training Finished.
2022-10-25 17:29:10,666 | INFO | Training Accuracy: 0.810, Training MCC: 0.641, Validation Accuracy: 0.600, Validation MCC: 0.000, Fold: 4
2022-10-25 17:29:10,666 | INFO | Training:
2022-10-25 17:29:10,667 | INFO | Training Finished.
2022-10-25 17:29:10,669 | INFO | Training Accuracy: 0.862, Training MCC: 0.739, Validation Accuracy: 0.600, Validation MCC: 0.159, Fold: 5
2022-10-25 17:29:10,669 | INFO | AVG Training Accuracy: 0.845, AVG Training MCC: 0.702, AVG Validation Accuracy: 0.627, AVG Validation MCC: 0.227

2022-10-25 17:29:10,670 | INFO | PCA Starting
2022-10-25 17:29:10,709 | INFO | Selecting 28 principal components making up 85% of the variance.

2022-10-25 17:29:10,710 | INFO | PCA Finished
2022-10-25 17:29:10,710 | INFO | GridSearchCV Starting
2022-10-25 17:29:11,667 | INFO | Best parameter set: {'C': 21, 'break_ties': False, 'class_weight': None, 'gamma': 0.01}
2022-10-25 17:29:11,667 | INFO | -------------------------

2022-10-25 17:29:11,667 | INFO | Train MCC Score: 0.859.  StDev for Train MCC: 0.031.  Test MCC Score: 0.350.  StDev for Test MCC: 0.132.

2022-10-25 17:29:11,668 | INFO | Training:
2022-10-25 17:29:11,669 | INFO | Training Finished.
2022-10-25 17:29:11,671 | INFO | Training Accuracy: 0.897, Training MCC: 0.806, Validation Accuracy: 0.733, Validation MCC: 0.482, Fold: 1
2022-10-25 17:29:11,671 | INFO | Training:
2022-10-25 17:29:11,672 | INFO | Training Finished.
2022-10-25 17:29:11,674 | INFO | Training Accuracy: 0.948, Training MCC: 0.901, Validation Accuracy: 0.667, Validation MCC: 0.357, Fold: 2
2022-10-25 17:29:11,674 | INFO | Training:
2022-10-25 17:29:11,675 | INFO | Training Finished.
2022-10-25 17:29:11,677 | INFO | Training Accuracy: 0.948, Training MCC: 0.900, Validation Accuracy: 0.533, Validation MCC: 0.153, Fold: 3
2022-10-25 17:29:11,677 | INFO | Training:
2022-10-25 17:29:11,678 | INFO | Training Finished.
2022-10-25 17:29:11,679 | INFO | Training Accuracy: 0.897, Training MCC: 0.806, Validation Accuracy: 0.867, Validation MCC: 0.766, Fold: 4
2022-10-25 17:29:11,680 | INFO | Training:
2022-10-25 17:29:11,681 | INFO | Training Finished.
2022-10-25 17:29:11,682 | INFO | Training Accuracy: 0.897, Training MCC: 0.802, Validation Accuracy: 0.533, Validation MCC: 0.000, Fold: 5
2022-10-25 17:29:11,682 | INFO | AVG Training Accuracy: 0.917, AVG Training MCC: 0.843, AVG Validation Accuracy: 0.667, AVG Validation MCC: 0.352

2022-10-25 17:29:11,683 | INFO | PCA Starting
2022-10-25 17:29:11,711 | INFO | Selecting 34 principal components making up 90% of the variance.

2022-10-25 17:29:11,712 | INFO | PCA Finished
2022-10-25 17:29:11,712 | INFO | GridSearchCV Starting
2022-10-25 17:29:12,742 | INFO | Best parameter set: {'C': 61, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}
2022-10-25 17:29:12,742 | INFO | -------------------------

2022-10-25 17:29:12,743 | INFO | Train MCC Score: 0.760.  StDev for Train MCC: 0.059.  Test MCC Score: 0.349.  StDev for Test MCC: 0.112.

2022-10-25 17:29:12,743 | INFO | Training:
2022-10-25 17:29:12,744 | INFO | Training Finished.
2022-10-25 17:29:12,746 | INFO | Training Accuracy: 0.845, Training MCC: 0.694, Validation Accuracy: 0.800, Validation MCC: 0.635, Fold: 1
2022-10-25 17:29:12,746 | INFO | Training:
