,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
738,0.001899862289428711,0.00019986654371700926,0.001200103759765625,0.00024506779352984206,91,0.46,scale,"{'C': 91, 'epsilon': 0.46, 'gamma': 'scale'}",-3.1866501177145703,-1.4926872644430977,-1.4430833959325982,-1.5804571802010698,-3.822832581139417,-2.3051421078861507,1.000883318264263,708,-0.4337855947540608,-0.5506179719631852,-0.43659353062194917,-0.544595183779552,-0.4805047458390735,-0.48921940539156417,0.05050662561942326
739,0.0019001007080078126,0.0003741387105848622,0.000999307632446289,1.0936112347774234e-06,91,0.46,auto,"{'C': 91, 'epsilon': 0.46, 'gamma': 'auto'}",-1.850731753561077,-0.8926170708820506,-0.9000586169975522,-0.9718259380547004,-2.230147542309379,-1.3690761843609518,0.561824615751856,221,-0.9064854402079104,-1.1007591313490384,-1.0505044331267148,-1.0382797976681515,-0.7439524094784111,-0.9679962423660452,0.12911435413363856
740,0.0022997379302978514,0.0006003621530552766,0.001200246810913086,0.00024475700644190464,91,0.51,scale,"{'C': 91, 'epsilon': 0.51, 'gamma': 'scale'}",-3.1748081527812184,-1.5241539180707226,-1.4158061325573514,-1.5591492106602678,-3.834317448417339,-2.30164697249738,1.0051867094457476,702,-0.4677670871518807,-0.577570011812599,-0.4723214678420508,-0.5742697257307766,-0.5052425729877351,-0.5194341731050084,0.04791077093092779
741,0.001800203323364258,0.0004000783845738227,0.0013000011444091798,0.000245398516306938,91,0.51,auto,"{'C': 91, 'epsilon': 0.51, 'gamma': 'auto'}",-1.9010795311014124,-0.88549389952226,-0.9011185317514336,-1.0063671488942674,-2.2222478874125366,-1.383261399736382,0.5646799889157661,251,-0.9150129684140647,-1.1070387408393971,-1.053085192559502,-1.041413475104619,-0.7567601644548715,-0.9746621082744908,0.1258322494260877
742,0.0018997669219970703,0.0001999379625872619,0.001200246810913086,0.00024514542873849593,91,0.56,scale,"{'C': 91, 'epsilon': 0.56, 'gamma': 'scale'}",-3.1807870810383325,-1.5172971891538185,-1.3882827787382992,-1.5309319615562722,-3.8241723505272445,-2.2882942722027932,1.013264007584086,671,-0.5014339485035363,-0.6138834183253188,-0.507202626831392,-0.6038065984763779,-0.530522842683718,-0.5513698869640685,0.04803435102146724
743,0.0017998218536376953,0.0003998279713702896,0.0016999244689941406,0.0006784160345269707,91,0.56,auto,"{'C': 91, 'epsilon': 0.56, 'gamma': 'auto'}",-1.9450697588432087,-0.9004495801813456,-0.9019049679452665,-1.0270142006011371,-2.214189002632647,-1.3977255020407209,0.5651100064165052,276,-0.9195578461631793,-1.1070274028088636,-1.0573719048180783,-1.0483987556647978,-0.7760174526673663,-0.981674672424457,0.12004072095262809
744,0.0017998218536376953,0.00024489234886751205,0.0010999679565429688,0.00019984259522345835,91,0.6100000000000001,scale,"{'C': 91, 'epsilon': 0.6100000000000001, 'gamma': 'scale'}",-3.1925352457897134,-1.5122424465482736,-1.3702874462482546,-1.508788766574556,-3.818684424967009,-2.280507666025561,1.0209862294583485,654,-0.5346156898456911,-0.6502647910612219,-0.5426425552114328,-0.6367753448191122,-0.5565502885426954,-0.5841697338960307,0.049150484219653276
745,0.0017999172210693359,0.00024448351139060015,0.0011001110076904296,0.0001998907623390425,91,0.6100000000000001,auto,"{'C': 91, 'epsilon': 0.6100000000000001, 'gamma': 'auto'}",-1.9845810377400155,-0.918395134524531,-0.9134916330853668,-1.013215734736237,-2.2270540707444026,-1.4113475221661105,0.5732966596286334,297,-0.9214828047861855,-1.1101212614029246,-1.0621068078029225,-1.0562806828947289,-0.7900624317859107,-0.9880107977345343,0.11719342190807115
746,0.001699972152709961,0.00024524330737915573,0.0011006832122802735,0.0002007966085721248,91,0.66,scale,"{'C': 91, 'epsilon': 0.66, 'gamma': 'scale'}",-3.2069435164760067,-1.4885727137728002,-1.3523607371839832,-1.5204747825051717,-3.86463561471625,-2.2865974729308425,1.0424804063609105,666,-0.5665067278124875,-0.6778038800989786,-0.580672567316418,-0.665547715606606,-0.5793824523457395,-0.6139826686360459,0.047524317724748716
747,0.0017998218536376953,0.0002448925345601973,0.0009996891021728516,6.217195897295617e-07,91,0.66,auto,"{'C': 91, 'epsilon': 0.66, 'gamma': 'auto'}",-2.0166686874216766,-0.9450969201741292,-0.8983410972400248,-1.0006000662128554,-2.242456466252602,-1.4206326474602577,0.5841238585666021,311,-0.9253869249924834,-1.1138783517247925,-1.068215395358666,-1.0665391095113859,-0.7993374134644892,-0.9946714390103633,0.11639560905477504
748,0.001825714111328125,0.0003837789023898151,0.001300048828125,0.00020217054277588971,91,0.7100000000000001,scale,"{'C': 91, 'epsilon': 0.7100000000000001, 'gamma': 'scale'}",-3.225194091493481,-1.4843770030493848,-1.3252481925156179,-1.5222942018833299,-3.9539118653516105,-2.3022050708586845,1.078108762729521,704,-0.6018619551756889,-0.699282503116341,-0.6154685985977228,-0.687246418500442,-0.6029716391516892,-0.6413662229083767,0.04281286263863829
749,0.0018259525299072266,0.0004161447405166295,0.0009740352630615235,5.154642763128695e-05,91,0.7100000000000001,auto,"{'C': 91, 'epsilon': 0.7100000000000001, 'gamma': 'auto'}",-2.050416152840538,-0.9689764970290714,-0.8854783453173125,-0.9888806726693942,-2.24738865885784,-1.4282280653428312,0.5927322308137611,324,-0.9267721525117859,-1.1188651960487865,-1.0726143087771478,-1.0773308557100936,-0.8087270490025459,-1.000861912410072,0.11603945784238497
750,0.0020740985870361327,0.00038474933958663603,0.0012998580932617188,0.00024460054454341224,91,0.76,scale,"{'C': 91, 'epsilon': 0.76, 'gamma': 'scale'}",-3.2473050152062886,-1.4831502623913695,-1.2925795051640825,-1.5267780342938402,-3.990175521401267,-2.3079976676913696,1.0985237391184366,713,-0.6346744223885196,-0.7240934054749536,-0.6504611925389333,-0.7124136984063538,-0.6287199042096816,-0.6700725246036884,0.0401464812115219
