2022-09-05 06:56:03,373 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.533, Validation MCC: 0.235, Fold: 2
2022-09-05 06:56:03,378 | INFO | Training Accuracy: 0.966, Training MCC: 0.944, Validation Accuracy: 0.600, Validation MCC: 0.321, Fold: 3
2022-09-05 06:56:03,383 | INFO | Training Accuracy: 0.966, Training MCC: 0.942, Validation Accuracy: 0.667, Validation MCC: 0.456, Fold: 4
2022-09-05 06:56:03,387 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.533, Validation MCC: 0.229, Fold: 5
2022-09-05 06:56:03,389 | INFO | AVG Training Accuracy: 0.955, AVG Training MCC: 0.926, AVG Validation Accuracy: 0.600, AVG Validation MCC: 0.337

2022-09-05 06:56:03,406 | INFO | Selecting 36 principal components making up 90% of the variance.

2022-09-05 06:56:04,160 | INFO | Best parameter set: {'C': 81, 'break_ties': True, 'class_weight': None, 'gamma': 'auto'}
2022-09-05 06:56:04,161 | INFO | -------------------------

2022-09-05 06:56:04,162 | INFO | Train MCC Score: 0.938.  StDev for Train MCC: 0.021.  Test MCC Score: 0.167.  StDev for Test MCC: 0.282.

2022-09-05 06:56:04,167 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.533, Validation MCC: 0.216, Fold: 1
2022-09-05 06:56:04,171 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.533, Validation MCC: 0.246, Fold: 2
2022-09-05 06:56:04,175 | INFO | Training Accuracy: 0.966, Training MCC: 0.944, Validation Accuracy: 0.667, Validation MCC: 0.435, Fold: 3
2022-09-05 06:56:04,180 | INFO | Training Accuracy: 0.966, Training MCC: 0.942, Validation Accuracy: 0.667, Validation MCC: 0.456, Fold: 4
2022-09-05 06:56:04,184 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.600, Validation MCC: 0.346, Fold: 5
2022-09-05 06:56:04,185 | INFO | AVG Training Accuracy: 0.955, AVG Training MCC: 0.926, AVG Validation Accuracy: 0.600, AVG Validation MCC: 0.340

2022-09-05 06:56:04,206 | INFO | Selecting 45 principal components making up 95% of the variance.

2022-09-05 06:56:04,971 | INFO | Best parameter set: {'C': 86, 'break_ties': True, 'class_weight': None, 'gamma': 0.01}
2022-09-05 06:56:04,971 | INFO | -------------------------

2022-09-05 06:56:04,972 | INFO | Train MCC Score: 0.938.  StDev for Train MCC: 0.021.  Test MCC Score: 0.210.  StDev for Test MCC: 0.167.

2022-09-05 06:56:04,977 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.533, Validation MCC: 0.216, Fold: 1
2022-09-05 06:56:04,982 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.400, Validation MCC: 0.081, Fold: 2
2022-09-05 06:56:04,986 | INFO | Training Accuracy: 0.966, Training MCC: 0.944, Validation Accuracy: 0.467, Validation MCC: 0.085, Fold: 3
2022-09-05 06:56:04,991 | INFO | Training Accuracy: 0.966, Training MCC: 0.942, Validation Accuracy: 0.600, Validation MCC: 0.358, Fold: 4
2022-09-05 06:56:04,996 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.533, Validation MCC: 0.229, Fold: 5
2022-09-05 06:56:04,997 | INFO | AVG Training Accuracy: 0.955, AVG Training MCC: 0.926, AVG Validation Accuracy: 0.507, AVG Validation MCC: 0.194

2022-09-05 06:56:05,015 | INFO | Selecting 73 principal components making up 100% of the variance.

2022-09-05 06:56:05,753 | INFO | Best parameter set: {'C': 61, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.0001}
2022-09-05 06:56:05,753 | INFO | -------------------------

2022-09-05 06:56:05,754 | INFO | Train MCC Score: 0.309.  StDev for Train MCC: 0.060.  Test MCC Score: 0.131.  StDev for Test MCC: 0.217.

2022-09-05 06:56:05,760 | INFO | Training Accuracy: 0.431, Training MCC: 0.157, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 1
2022-09-05 06:56:05,764 | INFO | Training Accuracy: 0.466, Training MCC: 0.276, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 2
2022-09-05 06:56:05,768 | INFO | Training Accuracy: 0.448, Training MCC: 0.224, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 3
2022-09-05 06:56:05,772 | INFO | Training Accuracy: 0.431, Training MCC: 0.157, Validation Accuracy: 0.467, Validation MCC: 0.308, Fold: 4
2022-09-05 06:56:05,777 | INFO | Training Accuracy: 0.483, Training MCC: 0.307, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 5
2022-09-05 06:56:05,778 | INFO | AVG Training Accuracy: 0.452, AVG Training MCC: 0.224, AVG Validation Accuracy: 0.413, AVG Validation MCC: 0.062

2022-09-05 06:56:05,792 | INFO | XGBoost Classifier Results:

2022-09-05 07:13:52,337 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 3, 'n_estimators': 18, 'subsample': 1}
2022-09-05 07:13:52,338 | INFO | -------------------------

2022-09-05 07:13:52,346 | INFO | Train MCC Score: 1.000.  StDev for Train MCC: 0.000.  Test MCC Score: 0.311.  StDev for Test MCC: 0.184.

2022-09-05 07:13:52,441 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.667, Validation MCC: 0.435, Fold: 1
2022-09-05 07:13:52,519 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.600, Validation MCC: 0.338, Fold: 2
2022-09-05 07:13:52,596 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.600, Validation MCC: 0.297, Fold: 3
2022-09-05 07:13:52,700 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.600, Validation MCC: 0.346, Fold: 4
2022-09-05 07:13:52,773 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.533, Validation MCC: 0.203, Fold: 5
2022-09-05 07:13:52,775 | INFO | AVG Training Accuracy: 1.000, AVG Training MCC: 1.000, AVG Validation Accuracy: 0.600, AVG Validation MCC: 0.324

2022-09-05 07:52:20,728 | INFO | SFS only results:

2022-09-05 07:57:29,582 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 3, 'n_estimators': 16, 'subsample': 1}
2022-09-05 07:57:29,583 | INFO | -------------------------

2022-09-05 07:57:29,590 | INFO | Train MCC Score: 0.846.  StDev for Train MCC: 0.036.  Test MCC Score: 0.481.  StDev for Test MCC: 0.158.

2022-09-05 07:57:29,644 | INFO | Training Accuracy: 0.879, Training MCC: 0.796, Validation Accuracy: 0.600, Validation MCC: 0.311, Fold: 1
2022-09-05 07:57:29,665 | INFO | Training Accuracy: 0.948, Training MCC: 0.918, Validation Accuracy: 0.267, Validation MCC: -0.202, Fold: 2
2022-09-05 07:57:29,694 | INFO | Training Accuracy: 0.914, Training MCC: 0.858, Validation Accuracy: 0.600, Validation MCC: 0.311, Fold: 3
2022-09-05 07:57:29,717 | INFO | Training Accuracy: 0.897, Training MCC: 0.826, Validation Accuracy: 0.467, Validation MCC: 0.111, Fold: 4
2022-09-05 07:57:29,737 | INFO | Training Accuracy: 0.879, Training MCC: 0.796, Validation Accuracy: 0.533, Validation MCC: 0.246, Fold: 5
2022-09-05 07:57:29,739 | INFO | AVG Training Accuracy: 0.903, AVG Training MCC: 0.839, AVG Validation Accuracy: 0.493, AVG Validation MCC: 0.155

2022-09-05 07:57:29,904 | INFO | Results after PCA:
2022-09-05 07:57:29,904 | INFO | ------------------

2022-09-05 07:57:29,915 | INFO | Selecting 22 principal components making up 75% of the variance.

2022-09-05 08:00:14,522 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 1, 'lambda': 1, 'max_depth': 5, 'n_estimators': 1, 'subsample': 1}
2022-09-05 08:00:14,522 | INFO | -------------------------

2022-09-05 08:00:14,530 | INFO | Train MCC Score: 0.860.  StDev for Train MCC: 0.019.  Test MCC Score: 0.219.  StDev for Test MCC: 0.266.

2022-09-05 08:00:14,564 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.533, Validation MCC: 0.171, Fold: 1
2022-09-05 08:00:14,577 | INFO | Training Accuracy: 0.897, Training MCC: 0.830, Validation Accuracy: 0.533, Validation MCC: 0.206, Fold: 2
2022-09-05 08:00:14,587 | INFO | Training Accuracy: 0.897, Training MCC: 0.828, Validation Accuracy: 0.333, Validation MCC: -0.238, Fold: 3
