,Classification Model,Regression Model,Training RMSE,Validation RMSE,Log Training RMSE,Log Validation RMSE,Trimmed Training RMSE,Trimmed Validation RMSE,Trimmed Log Training RMSE,Trimmed Log Validation RMSE,Training MCC,Validation MCC
0,SVC with Linear Kernel,SVR with RBF Kernel,3137468.920064515,1743145.6036365419,1.4668928328572677,2.0032255931882617,397.0801636757427,95702.31398754974,0.8937431340423684,1.8052008053355748,0.9495408958424351,0.7732543111089785
1,SVC with Linear Kernel,SVR with Linear Kernel,3137468.9055387126,1743145.305119011,1.4534405891183462,2.0375919716149586,375.2159364922763,95739.2521962749,0.8681214544199323,1.8476678506167432,0.9495408958424351,0.7732543111089785
2,SVC with Linear Kernel,Lasso Regression,3137468.949534905,1743147.229233584,1.6550741946366916,1.977211754831955,467.8441619324011,95669.52058739707,1.2115702814494982,1.764327981771201,0.9495408958424351,0.7732543111089785
3,XGBoost Classifier,SVR with RBF Kernel,3131432.6192053957,1691109.0742167043,1.7707186282856557,1.8898308946610711,143499.4238716905,1599647.8911612069,1.554707787136716,1.8415003850538365,0.6808789894897688,0.534842769878904
4,XGBoost Classifier,SVR with Linear Kernel,3131425.920739338,1691093.5676374012,1.8004363519220867,1.9571385013821072,143486.10255782324,1599621.522510558,1.5959181537823977,1.9179149813355871,0.6808789894897688,0.534842769878904
5,XGBoost Classifier,Lasso Regression,3131432.6251946674,1691114.3042471346,1.843261664946747,1.824476321414723,143503.09104884395,1599640.4694740344,1.6468507884364745,1.7655764001416276,0.6808789894897688,0.534842769878904
6,Random Forest Classifier,SVR with RBF Kernel,3131434.6113365786,1710004.81967505,2.0285612726914364,2.3477755495678325,3131434.6113365786,1710004.81967505,2.0285612726914364,2.3477755495678325,0.5527011993477764,0.19351995739714228
7,Random Forest Classifier,SVR with Linear Kernel,3131434.7218108424,1710004.6941236216,2.002996909592715,2.372032192541606,3131434.7218108424,1710004.6941236216,2.002996909592715,2.372032192541606,0.5478466771017342,0.2691370461917651
8,Random Forest Classifier,Lasso Regression,3131434.5892930757,1710004.7877324913,2.006238589050414,2.5670387865591358,3131434.5892930757,1710004.7877324913,2.006238589050414,2.5670387865591358,0.5328724900106887,-0.00907946528439461
