,Features Selected,Train Accuracy Score,Train MCC Score,Test Accuracy Score,Test MCC Score
0,28.0,0.8800116890707189,0.7665793729256822,0.780952380952381,0.5786203804479775
1,34.0,0.8904149620105202,0.7909473903667082,0.8076190476190476,0.6202324664923587
2,40.0,0.8869666861484513,0.7842333133328458,0.7933333333333333,0.5970106332374161
3,45.0,0.8869666861484513,0.7842333133328458,0.8076190476190476,0.6202324664923587
4,51.0,0.8869666861484513,0.7842333133328458,0.8076190476190476,0.6175125489848862
5,57.0,0.8869666861484513,0.7842333133328458,0.7942857142857144,0.5931347149306513
6,62.0,0.8835184102863822,0.7760076052217233,0.7809523809523811,0.5707743382213699
7,68.0,0.8869666861484513,0.7842333133328458,0.8076190476190476,0.6175125489848862
8,74.0,0.8835184102863822,0.7760076052217233,0.7676190476190476,0.5521412278666615
9,80.0,0.8938047925189947,0.7964218410021308,0.7809523809523811,0.5716839531198874
10,85.0,0.8972530683810638,0.8026970065240004,0.7676190476190476,0.552874375598172
