<<<<<<< HEAD
,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1567,0.011710071563720703,0.001861631298936849,0.0017013072967529297,0.0002449313133924773,0.0,entropy,9,log2,8,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'log2', 'n_estimators': 8}",0.4345240946267408,0.2695690340429192,0.30483638224685217,0.4716981132075472,0.3687409228350686,0.36987370939182557,0.07594741147378896,4,0.9419024494912902,0.9404626035847402,0.941208093551747,0.9716410109574698,0.942518489368727,0.9475465293907946,0.012066802725276994
1134,0.01100916862487793,0.00031665722787489373,0.0018017292022705078,0.0002451843159498659,0.0,entropy,4,0.3,7,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 0.3, 'n_estimators': 7}",0.2884526489088942,0.39167472590032015,0.649018460045012,0.49047531817192297,0.45566118843288356,0.45505646829180657,0.11886983869737906,1,0.8813649655362419,0.9121040924160386,0.8864005383168224,0.8616341951290851,0.9413471742106961,0.8965701931217769,0.02757326546946121
2822,0.021218204498291017,0.0023811618635014285,0.0023019790649414064,0.0002452232804435336,0.1,entropy,4,log2,15,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 15}",0.5539117094069973,0.25051599642100686,0.4020151261036848,0.5835803609922536,0.06798894136490048,0.37160242685776856,0.1928415533789364,3,0.9706673470702183,0.7703752475066946,0.8213011302942418,0.8574844171200836,0.8562702494415053,0.8552196782865487,0.06585353794836463
=======
,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1567,0.011710071563720703,0.001861631298936849,0.0017013072967529297,0.0002449313133924773,0.0,entropy,9,log2,8,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'log2', 'n_estimators': 8}",0.4345240946267408,0.2695690340429192,0.30483638224685217,0.4716981132075472,0.3687409228350686,0.36987370939182557,0.07594741147378896,4,0.9419024494912902,0.9404626035847402,0.941208093551747,0.9716410109574698,0.942518489368727,0.9475465293907946,0.012066802725276994
1134,0.01100916862487793,0.00031665722787489373,0.0018017292022705078,0.0002451843159498659,0.0,entropy,4,0.3,7,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 0.3, 'n_estimators': 7}",0.2884526489088942,0.39167472590032015,0.649018460045012,0.49047531817192297,0.45566118843288356,0.45505646829180657,0.11886983869737906,1,0.8813649655362419,0.9121040924160386,0.8864005383168224,0.8616341951290851,0.9413471742106961,0.8965701931217769,0.02757326546946121
2822,0.021218204498291017,0.0023811618635014285,0.0023019790649414064,0.0002452232804435336,0.1,entropy,4,log2,15,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 15}",0.5539117094069973,0.25051599642100686,0.4020151261036848,0.5835803609922536,0.06798894136490048,0.37160242685776856,0.1928415533789364,3,0.9706673470702183,0.7703752475066946,0.8213011302942418,0.8574844171200836,0.8562702494415053,0.8552196782865487,0.06585353794836463
>>>>>>> be6abf5f9dff4a981749880811c49232fd04e70f
