,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1892,0.03623123168945312,0.003504272679077786,0.0030025482177734376,2.86102294921875e-07,0.1,gini,3,1.0,21,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 3, 'max_features': 1.0, 'n_estimators': 21}",0.3107907802540305,0.296078262731896,0.26111648393354675,0.29690930646974306,0.23288900389583278,0.27955676745700975,0.02852212539043539,33,0.8833264760716715,0.7981824833506704,0.8275042171510247,0.7451300879421983,0.7423222865865383,0.7992931102204206,0.052986817889769715
2628,0.01671438217163086,0.0008130551684910088,0.0022017955780029297,0.00024508697038669384,0.1,entropy,2,log2,13,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 13}",0.38052119532359524,0.296078262731896,0.25051599642100686,0.274981157418816,0.13018891098082386,0.2664571045752276,0.08097385849808686,65,0.8284016102405043,0.585928533348881,0.7356864868813493,0.7260926503373091,0.6760134070882707,0.7104245375792629,0.07935442833850577
1915,0.03543071746826172,0.004937847998692252,0.0027020931243896484,0.0002453984236520508,0.1,gini,3,0.3,20,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.3, 'n_estimators': 20}",0.25928148942086576,0.296078262731896,0.11134044285378082,0.29690930646974306,0.37052413631667824,0.2668267275585928,0.08572827047939659,63,0.6997827523218374,0.6581449857079921,0.7401038391621101,0.7538214222534211,0.6889471206965854,0.7081600240283892,0.034774096701526855
4401,0.013711833953857422,0.00024506751518995744,0.0020017147064208983,9.536743164062499e-08,0.2,entropy,2,0.3,10,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 0.3, 'n_estimators': 10}",0.18190171877724975,0.4345240946267408,0.16826404519685495,0.29690930646974306,0.23288900389583278,0.26289763379328424,0.09698330592912752,76,0.731908365562897,0.6718951316581119,0.6774526205886763,0.6413136002117751,0.7382232569451821,0.6921585949933284,0.03718624601902168
1883,0.020417451858520508,0.0005834373195814194,0.0021019458770751955,0.00020036708735554027,0.1,gini,3,1.0,12,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 3, 'max_features': 1.0, 'n_estimators': 12}",0.17149858514250885,0.4345240946267408,0.24618298195866545,0.37669950321611845,0.23288900389583278,0.2923588337679733,0.09757087636292736,21,0.7058431049446523,0.5777023532979301,0.7442703664707224,0.8292836903027393,0.6736055022690981,0.7061410034570283,0.08267176553476478
1988,0.04593944549560547,0.004469287143631602,0.002802324295043945,0.0002452427047406079,0.1,gini,4,1.0,21,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1.0, 'n_estimators': 21}",0.17149858514250885,0.296078262731896,0.07242068243779014,0.3434014098717226,0.37052413631667824,0.25078461530011914,0.11230930963365289,102,0.8259905149599193,0.745072748715239,0.8566122665477919,0.7434535903341013,0.7754767263356721,0.7893211693785448,0.04500257504936758
2701,0.01791529655456543,0.0003744317869386425,0.002702188491821289,0.0006789572159801393,0.1,entropy,3,sqrt,14,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 14}",0.38052119532359524,0.07242068243779014,0.25051599642100686,0.20604084592303354,0.37052413631667824,0.25600457128442083,0.11388473382096656,89,0.881764605156202,0.9137482416990038,0.9129915596256449,0.9159704749371274,0.8552949801709291,0.8959539723177814,0.023925164843899283
3242,0.005204391479492187,0.0005103796713456825,0.0013012886047363281,0.0002451844086856641,0.1,entropy,8,0.3,3,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 0.3, 'n_estimators': 3}",0.19734655560958517,0.11134044285378082,0.4345240946267408,0.39430368715782044,0.22503125651192407,0.27250920735197026,0.12244318657452852,47,0.8825189829229674,0.8526872236831677,0.7644633662502249,0.8306203235574848,0.7338228859265011,0.8128225564680692,0.055395132079135996
4505,0.030526351928710938,0.0050341817128868125,0.0026020050048828126,0.00020020038609937427,0.2,entropy,3,0.3,18,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'n_estimators': 18}",0.036563621206356534,0.296078262731896,0.4345240946267408,0.274981157418816,0.28886325786964756,0.2662020787706914,0.1284907077126744,66,0.8197270464353363,0.7945758060452286,0.7963783906887142,0.7698693154055182,0.7470146162898623,0.7855130349729319,0.024890329679173345
3037,0.03633122444152832,0.00862492543429195,0.0025022029876708984,1.5078914929239175e-07,0.1,entropy,6,1.0,14,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 1.0, 'n_estimators': 14}",0.18190171877724975,0.4345240946267408,0.15075567228888181,0.1303116728289208,0.42519520276218714,0.2645376722567961,0.13601315314689832,70,0.9706673470702183,0.9708427648403896,0.9708427648403896,0.9445527212001168,0.9432379984337422,0.9600287192769713,0.013179547694277456
