,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_gamma,param_lambda,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
28239,0.004925584793090821,0.0012339721903510202,0.0010929584503173828,0.0005603941828702125,1.0,1,9,5,8,1,"{'alpha': 1.0, 'gamma': 1, 'lambda': 9, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
27807,0.005112266540527344,0.0020756623653266264,0.0007982730865478515,3.7396134636625436e-05,1.0,1,5,5,8,1,"{'alpha': 1.0, 'gamma': 1, 'lambda': 5, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
22623,0.005459880828857422,0.002721152596848126,0.0014841556549072266,0.0013930497459235553,0.8,1,5,5,8,1,"{'alpha': 0.8, 'gamma': 1, 'lambda': 5, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
7071,0.004089832305908203,0.00010607360211982943,0.0007809162139892578,1.3591615663732119e-05,0.2,1,5,5,8,1,"{'alpha': 0.2, 'gamma': 1, 'lambda': 5, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
2319,0.004144144058227539,9.232931785009935e-05,0.000801992416381836,1.0941724501552733e-05,0.0,1,9,5,8,1,"{'alpha': 0.0, 'gamma': 1, 'lambda': 9, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
6639,0.004957246780395508,0.0011681723412457668,0.0011356353759765625,0.0006569028072679077,0.2,1,1,5,8,1,"{'alpha': 0.2, 'gamma': 1, 'lambda': 1, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
17007,0.005155229568481445,0.0021705400209293367,0.001046895980834961,0.0005390797076780819,0.6000000000000001,1,1,5,8,1,"{'alpha': 0.6000000000000001, 'gamma': 1, 'lambda': 1, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
12255,0.0041885852813720705,0.0002951711905963878,0.0011085033416748046,0.0006233558614691021,0.4,1,5,5,8,1,"{'alpha': 0.4, 'gamma': 1, 'lambda': 5, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
11823,0.004515600204467773,0.0007391934394219694,0.0008064746856689453,4.271582743102813e-05,0.4,1,1,5,8,1,"{'alpha': 0.4, 'gamma': 1, 'lambda': 1, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
1887,0.010270643234252929,0.009729622145740522,0.001144552230834961,0.0006340263368886505,0.0,1,5,5,8,1,"{'alpha': 0.0, 'gamma': 1, 'lambda': 5, 'max_depth': 5, 'n_estimators': 8, 'subsample': 1}",-0.008485552916276633,0.33942211665106536,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.27520376325780466,0.14384928911107522,1333,0.9670691615059425,0.966998441107814,0.933804358978755,0.9690510285166632,0.9680450648275534,0.9609936109873456,0.013615217237845968
