,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_break_ties,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
43,0.001000833511352539,0.0003163557573991863,0.0011010169982910156,0.00020003344361899285,10,True,balanced,0.01,"{'C': 10, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.01}",0.026650089544451305,0.1875916198442167,0.3582488604159193,0.32377847216476696,0.6436973255912795,0.30799327351212674,0.2045104165879807,5,0.7443864376367487,0.7653393797427165,0.658487051789274,0.6311979273360759,0.6971924758347356,0.69932065446791,0.050402410861824634
31,0.0011008739471435546,0.00020022406467906027,0.0009009361267089844,0.0002002478426503818,10,False,balanced,0.01,"{'C': 10, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.01}",0.026650089544451305,0.1875916198442167,0.3582488604159193,0.32377847216476696,0.6436973255912795,0.30799327351212674,0.2045104165879807,5,0.7443864376367487,0.7653393797427165,0.658487051789274,0.6311979273360759,0.6971924758347356,0.69932065446791,0.050402410861824634
80,0.0008006095886230469,0.00024537907654530145,0.0008009433746337891,0.0002450676543599393,100,False,balanced,0.001,"{'C': 100, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.001}",0.026650089544451305,0.1875916198442167,0.3582488604159193,0.4716981132075472,0.6436973255912795,0.3375772017206828,0.2150798040109308,1,0.7443864376367487,0.7653393797427165,0.658487051789274,0.5993078669644619,0.6971924758347356,0.6929426423935874,0.05976700030225943
92,0.001000833511352539,2.78041453115716e-07,0.0011006832122802735,0.00020020015895315458,100,True,balanced,0.001,"{'C': 100, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.001}",0.026650089544451305,0.1875916198442167,0.3582488604159193,0.4716981132075472,0.6436973255912795,0.3375772017206828,0.2150798040109308,1,0.7443864376367487,0.7653393797427165,0.658487051789274,0.5993078669644619,0.6971924758347356,0.6929426423935874,0.05976700030225943
165,0.0011011600494384766,0.0002003200563226807,0.0009006023406982422,0.00020020044288588895,1000,True,balanced,0.0001,"{'C': 1000, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.0001}",0.026650089544451305,0.1875916198442167,0.3582488604159193,0.4716981132075472,0.6436973255912795,0.3375772017206828,0.2150798040109308,1,0.7443864376367487,0.7653393797427165,0.6348327853951318,0.5993078669644619,0.6971924758347356,0.6882117891147589,0.06314765952655935
153,0.0009007453918457031,0.0002003908937421167,0.0009006023406982422,0.00020020021573973368,1000,False,balanced,0.0001,"{'C': 1000, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.0001}",0.026650089544451305,0.1875916198442167,0.3582488604159193,0.4716981132075472,0.6436973255912795,0.3375772017206828,0.2150798040109308,1,0.7443864376367487,0.7653393797427165,0.6348327853951318,0.5993078669644619,0.6971924758347356,0.6882117891147589,0.06314765952655935
85,0.0009006500244140625,0.00020010473474506765,0.001001119613647461,1.5078914929239175e-07,100,True,,0.01,"{'C': 100, 'break_ties': True, 'class_weight': None, 'gamma': 0.01}",0.15990053726670783,0.1875916198442167,0.5222329678670935,-0.18574538408502883,0.6407454249058282,0.2649450331597635,0.292425294613081,7,0.8251237430577334,0.8251237430577334,0.7980589446390886,0.8555176175477134,0.8339799740470714,0.827560804469868,0.01846633372198428
146,0.0009006023406982422,0.00020020015895315455,0.0013010025024414063,0.000245048067727345,1000,False,,0.001,"{'C': 1000, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.15990053726670783,0.1875916198442167,0.5222329678670935,-0.18574538408502883,0.6407454249058282,0.2649450331597635,0.292425294613081,7,0.8251237430577334,0.8251237430577334,0.7980589446390886,0.8565758417148802,0.8041889290635933,0.8218142403066058,0.020519455246430958
158,0.0011009693145751954,0.00020005710786152598,0.0010008811950683594,2.132480599880018e-07,1000,True,,0.001,"{'C': 1000, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.15990053726670783,0.1875916198442167,0.5222329678670935,-0.18574538408502883,0.6407454249058282,0.2649450331597635,0.292425294613081,7,0.8251237430577334,0.8251237430577334,0.7980589446390886,0.8555176175477134,0.8339799740470714,0.827560804469868,0.01846633372198428
73,0.0010007858276367188,1.1680077279964343e-07,0.0008008956909179687,0.0002452232804435336,100,False,,0.01,"{'C': 100, 'break_ties': False, 'class_weight': None, 'gamma': 0.01}",0.15990053726670783,0.1875916198442167,0.5222329678670935,-0.18574538408502883,0.6407454249058282,0.2649450331597635,0.292425294613081,7,0.8251237430577334,0.8251237430577334,0.7980589446390886,0.8565758417148802,0.8041889290635933,0.8218142403066058,0.020519455246430958
122,0.0009007453918457031,0.00020015241845581234,0.0009006977081298829,0.0002002478426503818,500,False,,0.001,"{'C': 500, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.14976057446828844,0.15075567228888181,0.6532745799184878,-0.18574538408502883,0.5207556439232954,0.257760217302785,0.29846585045093105,12,0.7978797389263312,0.7944708278351904,0.7980589446390886,0.8271248075300446,0.7695549146515386,0.7974178467164388,0.018265572946287636
134,0.0009006500244140625,0.0002002240646790603,0.0013010501861572266,0.00040036441581632896,500,True,,0.001,"{'C': 500, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.14976057446828844,0.15075567228888181,0.6532745799184878,-0.18574538408502883,0.5207556439232954,0.257760217302785,0.29846585045093105,12,0.7978797389263312,0.7944708278351904,0.7980589446390886,0.8271248075300446,0.7695549146515386,0.7974178467164388,0.018265572946287636
