,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1021,0.07296261787414551,0.014515704322862269,0.00910778045654297,0.0025789331432251902,0.0,entropy,3,1.0,14,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1.0, 'n_estimators': 14}",0.32995600879804493,0.3427101402346148,0.36293309315564887,0.34992710611188255,0.32539568672798425,0.3421844070056351,0.013580343243926577,122,0.9686366035843892,0.967907557062632,0.9049725810507373,0.9697814366141521,0.968997812415855,0.9560591981455531,0.025550439333279065
4691,0.030426025390625,0.001357552349501202,0.0067059993743896484,0.0002452818082772332,0.2,entropy,5,0.3,12,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'n_estimators': 12}",0.32995600879804493,0.31750031750047625,0.31750031750047625,0.34992710611188255,0.2669258885993638,0.31636192770204874,0.027415083685289082,267,0.9049725810507373,0.6980722779481275,0.8020178132913013,0.6432535950897559,0.775533611282203,0.764769975732425,0.08986082733351931
2805,0.03492980003356934,0.0012010177443242042,0.007806539535522461,0.0002451844086856641,0.1,entropy,4,sqrt,22,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 22}",0.32995600879804493,0.31750031750047625,0.3296342573721317,0.34992710611188255,0.2656844656620286,0.3185404310889128,0.028401924873211734,243,0.9049725810507373,0.9021987310230968,0.8720241785838646,0.8440565796133916,0.905608457003184,0.8857721054548549,0.0243358325228297
3419,0.051844310760498044,0.0018346559815315612,0.007206344604492187,0.0004003525632173939,0.1,entropy,10,1.0,12,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 12}",0.32995600879804493,0.3427101402346148,0.27419354838709675,0.25053336554642197,0.28005601680560194,0.2954898159543561,0.03501569098564975,455,0.935340022296544,0.9678270479082078,0.9355283656723576,0.842963328880795,0.9688622498696908,0.9301042029255191,0.045990360972236896
4979,0.030526256561279295,0.002026582883793309,0.00660548210144043,0.00020010473474506768,0.2,entropy,8,0.3,12,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 0.3, 'n_estimators': 12}",0.32995600879804493,0.2333141313143457,0.31750031750047625,0.34992710611188255,0.3638034375544995,0.31890020025584975,0.04566866623410044,239,0.8034041750942769,0.8013677674242137,0.6978786138314136,0.7446185272035959,0.6742344408001225,0.7443007048707245,0.052562843776300494
411,0.010509204864501954,4.1019083342755444e-07,0.0063053607940673825,0.0002451065724635967,0.0,gini,6,log2,4,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 4}",0.21997067253202995,0.31750031750047625,0.2880092164423916,0.266198568749975,0.3558350347521794,0.2895027619954105,0.04596490202234903,516,0.8355394617245749,0.836577273299396,0.9369931966481647,0.8110615736505404,0.8740242185876922,0.8588391447820737,0.04395407772957954
178,0.02652277946472168,0.006186080473996132,0.006905984878540039,0.00020012858370130188,0.0,gini,3,0.3,11,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.3, 'n_estimators': 11}",0.32995600879804493,0.27419354838709675,0.27419354838709675,0.1865117742382477,0.31006201860620214,0.27498337968333764,0.049154803422348424,711,0.9030927117473757,0.8717445079777405,0.967907557062632,0.9377637130801688,0.968997812415855,0.9299012604567544,0.03777762104963322
778,0.019616985321044923,0.0012420647450393646,0.007506418228149414,0.00104971033595152,0.0,gini,10,sqrt,11,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 11}",0.33942211665106536,0.2333141313143457,0.2333141313143457,0.34992710611188255,0.2656844656620286,0.28433239021073353,0.05077600867542654,598,0.9049725810507373,0.967907557062632,0.9355861219715368,0.9086028924839914,0.9381779463633502,0.9310494197864495,0.022863805228928998
186,0.04393763542175293,0.006245666681844131,0.008707475662231446,0.001030461012449515,0.0,gini,3,0.3,19,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.3, 'n_estimators': 19}",0.19572034031470317,0.31133467586669866,0.3427101402346148,0.266198568749975,0.3131121455425747,0.2858151741417133,0.051254847716240726,580,0.9024397572846347,0.9362510162412889,0.836577273299396,0.9061456881770588,0.9381779463633502,0.9039183362731457,0.0367725145515475
2687,0.0485417366027832,0.0015505738873861118,0.007906818389892578,0.00020022406467906027,0.1,entropy,2,0.3,24,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 0.3, 'n_estimators': 24}",0.20377359689625746,0.31750031750047625,0.3427101402346148,0.34992710611188255,0.3131121455425747,0.30540466125716115,0.05274188148838727,347,0.8706800445930881,0.9049725810507373,0.6807876626320286,0.810048495212002,0.8760208877910617,0.8285019342557834,0.08005602939420785
1098,0.027423524856567384,0.0006638879380297162,0.007306480407714843,0.0002450092888139385,0.0,entropy,4,log2,19,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 19}",0.32995600879804493,0.19572034031470317,0.3296342573721317,0.34992710611188255,0.3137254901960784,0.30379264055856814,0.055243069232230296,367,0.8698664698574322,0.9049725810507373,0.8740153421998172,0.9061456881770588,0.8760208877910617,0.8862041938152215,0.015931758259592154
2394,0.038132667541503906,0.0007355529169376585,0.007606649398803711,0.00020008092840246623,0.1,gini,8,0.3,19,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 8, 'max_features': 0.3, 'n_estimators': 19}",0.32995600879804493,0.31750031750047625,0.31133467586669866,0.18571428571428572,0.2223243229499719,0.27336592216589545,0.05810329291415356,742,0.8034041750942769,0.6281439358556494,0.6644914379982951,0.5704757370233248,0.7413312501840109,0.6815693072311114,0.08234431385152495
