2022-12-23 15:41:04,661 | INFO | Training RMSE: 146.278, Training RMSE (log): 0.932, Validation RMSE: 1108.498, Validation RMSE (log): 1.659
2022-12-23 15:41:04,677 | INFO | Fold 2
2022-12-23 15:41:04,677 | INFO | Classifier Training MCC: 0.967, Classifier Validation MCC: 0.885
2022-12-23 15:41:04,678 | INFO | Without removing any of the > 4000 values.
2022-12-23 15:41:04,678 | INFO | Training RMSE: 304639.545, Training RMSE (log): 1.365, Validation RMSE: 7558579.244, Validation RMSE (log): 2.478
2022-12-23 15:41:04,678 | INFO | After removing predicted > 4000 values.
2022-12-23 15:41:04,678 | INFO | Training RMSE: 577.826, Training RMSE (log): 0.882, Validation RMSE: 133630.625, Validation RMSE (log): 2.189
2022-12-23 15:41:04,693 | INFO | Fold 3
2022-12-23 15:41:04,693 | INFO | Classifier Training MCC: 1.000, Classifier Validation MCC: 0.495
2022-12-23 15:41:04,693 | INFO | Without removing any of the > 4000 values.
2022-12-23 15:41:04,693 | INFO | Training RMSE: 3849093.638, Training RMSE (log): 1.442, Validation RMSE: 451977.026, Validation RMSE (log): 1.785
2022-12-23 15:41:04,693 | INFO | After removing predicted > 4000 values.
2022-12-23 15:41:04,694 | INFO | Training RMSE: 570.051, Training RMSE (log): 0.862, Validation RMSE: 485359.563, Validation RMSE (log): 1.764
2022-12-23 15:41:04,708 | INFO | Fold 4
2022-12-23 15:41:04,708 | INFO | Classifier Training MCC: 0.969, Classifier Validation MCC: 0.836
2022-12-23 15:41:04,708 | INFO | Without removing any of the > 4000 values.
2022-12-23 15:41:04,709 | INFO | Training RMSE: 3823131.677, Training RMSE (log): 1.541, Validation RMSE: 6673.459, Validation RMSE (log): 0.957
2022-12-23 15:41:04,709 | INFO | After removing predicted > 4000 values.
2022-12-23 15:41:04,709 | INFO | Training RMSE: 572.504, Training RMSE (log): 0.890, Validation RMSE: 6673.459, Validation RMSE (log): 0.957
2022-12-23 15:41:04,723 | INFO | Fold 5
2022-12-23 15:41:04,723 | INFO | Classifier Training MCC: 0.968, Classifier Validation MCC: 0.725
2022-12-23 15:41:04,724 | INFO | Without removing any of the > 4000 values.
2022-12-23 15:41:04,724 | INFO | Training RMSE: 3823124.908, Training RMSE (log): 1.491, Validation RMSE: 16324.309, Validation RMSE (log): 2.334
2022-12-23 15:41:04,724 | INFO | After removing predicted > 4000 values.
2022-12-23 15:41:04,724 | INFO | Training RMSE: 563.941, Training RMSE (log): 0.875, Validation RMSE: 11563.284, Validation RMSE (log): 2.177
2022-12-23 15:41:04,724 | INFO | Averaged Results:
2022-12-23 15:41:04,725 | INFO | ---------------------------------------------------------------------------------------------

2022-12-23 15:41:04,725 | INFO | AVG Classifier Training MCC: 0.974, AVG Classifier Validation MCC: 0.765
2022-12-23 15:41:04,725 | INFO | Without removing any of the >4000 values.
2022-12-23 15:41:04,725 | INFO | AVG Training RMSE: 3130152.623, AVG training RMSE (log): 1.463, AVG Validation RMSE: 1685265.718, AVG Validation RMSE (log): 1.909

2022-12-23 15:41:04,725 | INFO | After removing predicted >4000 values.
2022-12-23 15:41:04,725 | INFO | AVG Training RMSE: 486.120, AVG Training RMSE (log): 0.888, AVG Validation RMSE: 127667.086, AVG Validation RMSE (log): 1.749

2022-12-23 15:41:04,727 | INFO | Model Results for Lasso Regression:
2022-12-23 15:41:04,727 | INFO | ---------------------

2022-12-23 15:41:04,727 | INFO | Hyperparameters for the small bucket regression model:
2022-12-23 15:41:04,791 | INFO | Best parameter set: {'alpha': 0.1, 'selection': 'cyclic'}
2022-12-23 15:41:04,792 | INFO | -------------------------

2022-12-23 15:41:04,792 | INFO | Hyperparameters for the medium bucket regression model:
2022-12-23 15:41:04,856 | INFO | Best parameter set: {'alpha': 0.1, 'selection': 'cyclic'}
2022-12-23 15:41:04,857 | INFO | -------------------------

2022-12-23 15:41:04,872 | INFO | Fold 1
2022-12-23 15:41:04,872 | INFO | Classifier Training MCC: 0.967, Classifier Validation MCC: 0.882
2022-12-23 15:41:04,873 | INFO | Without removing any of the > 4000 values.
2022-12-23 15:41:04,873 | INFO | Training RMSE: 3850773.346, Training RMSE (log): 1.514, Validation RMSE: 392774.550, Validation RMSE (log): 1.902
2022-12-23 15:41:04,873 | INFO | After removing predicted > 4000 values.
2022-12-23 15:41:04,873 | INFO | Training RMSE: 149.268, Training RMSE (log): 0.996, Validation RMSE: 1108.183, Validation RMSE (log): 1.532
2022-12-23 15:41:04,887 | INFO | Fold 2
2022-12-23 15:41:04,887 | INFO | Classifier Training MCC: 0.967, Classifier Validation MCC: 0.885
2022-12-23 15:41:04,887 | INFO | Without removing any of the > 4000 values.
2022-12-23 15:41:04,888 | INFO | Training RMSE: 304639.546, Training RMSE (log): 1.444, Validation RMSE: 7558579.244, Validation RMSE (log): 2.517
2022-12-23 15:41:04,888 | INFO | After removing predicted > 4000 values.
2022-12-23 15:41:04,888 | INFO | Training RMSE: 578.439, Training RMSE (log): 1.015, Validation RMSE: 133630.622, Validation RMSE (log): 2.237
2022-12-23 15:41:04,902 | INFO | Fold 3
