,Features Selected,Train Accuracy Score,Train MCC Score,Test Accuracy Score,Test MCC Score
0,28.0,0.8800116890707189,0.7665793729256822,0.780952380952381,0.5786203804479775
1,57.0,0.8869666861484513,0.7842333133328458,0.7942857142857144,0.5931347149306513
2,85.0,0.8972530683810638,0.8026970065240004,0.7676190476190476,0.552874375598172
3,114.0,0.9007013442431328,0.8101217033656184,0.74,0.5405098606178914
4,143.0,0.8834599649327879,0.7766654326053958,0.7533333333333333,0.5543927914095657
5,171.0,0.9006428988895383,0.8103659348275984,0.7409523809523809,0.5352772082040576
6,200.0,0.8937463471654004,0.7973767580950069,0.7009523809523809,0.40976350942328593
7,228.0,0.897136177673875,0.8032166683381246,0.7276190476190477,0.47637381666649325
8,257.0,0.9005260081823495,0.8099947141885465,0.7142857142857143,0.4136623943046418
9,286.0,0.9005260081823495,0.8097564194502869,0.700952380952381,0.3724169201914293
