,Features Selected,Train Accuracy Score,Train MCC Score,Test Accuracy Score,Test MCC Score
0,28.0,0.8356516656925775,0.7226085093539548,0.6285714285714286,0.3625175343154805
1,57.0,0.8390999415546464,0.7283178723951165,0.6285714285714286,0.3625175343154805
2,85.0,0.8390999415546464,0.7283178723951165,0.6285714285714286,0.3625175343154805
3,114.0,0.8390999415546464,0.7230656652152725,0.6571428571428571,0.42454584144090496
4,143.0,0.8390999415546464,0.7230656652152725,0.6438095238095238,0.3980946707559749
5,171.0,0.8390999415546464,0.7229148925159354,0.6438095238095238,0.3980946707559749
6,200.0,0.8390999415546464,0.7229148925159354,0.6438095238095238,0.3980946707559749
7,228.0,0.8356516656925773,0.7171291247853852,0.6304761904761905,0.3776198352523815
8,257.0,0.8390999415546464,0.7226318921487292,0.6171428571428571,0.34926960733556545
9,286.0,0.8390999415546464,0.7252495512662911,0.5742857142857143,0.2641650851722376
