,Name,Stage,Train MCC,Train Stdev,Test MCC,Test Stdev,Params
0,Random Forest Classifier,Baseline,0.5028041601113598,0.06894875118327352,0.556579583692318,0.1789264692836884,"{'ccp_alpha': 0.2, 'criterion': 'gini', 'max_depth': 8, 'max_features': 1.0, 'n_estimators': 7}"
1,Random Forest Classifier,SFS,0.5172059339023543,0.03290907672517597,0.5428363443531332,0.1299002229670595,"{'ccp_alpha': 0.2, 'criterion': 'gini', 'max_depth': 9, 'max_features': 1.0, 'n_estimators': 2}"
2,Random Forest Classifier,PCA 75% variance,0.8869494518107814,0.03748749787609808,0.550491670565957,0.13232833761090707,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 0.3, 'n_estimators': 17}"
3,Random Forest Classifier,PCA 80% variance,0.9625376291286601,0.023356986451981594,0.5367617613018041,0.11779434979068917,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 9}"
4,Random Forest Classifier,PCA 85% variance,1.0,0.0,0.4940040249674168,0.1518078497988614,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'n_estimators': 18}"
5,Random Forest Classifier,PCA 90% variance,0.9569078905690775,0.03111910118322143,0.49329736655706463,0.11538387857811604,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.3, 'n_estimators': 16}"
6,Random Forest Classifier,PCA 95% variance,0.9751652714117718,0.012425094546989746,0.49469444090224074,0.19227261340917365,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 11}"
7,Random Forest Classifier,PCA 100% variance,0.9629631775483795,0.04488106306971663,0.4431334013004908,0.15005274318605524,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 1.0, 'n_estimators': 13}"
