,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_gamma,param_lambda,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
23767,0.006699228286743164,0.0008713173982102887,0.0020998001098632814,0.00020012949260958443,0.8,2,5,2,4,1,"{'alpha': 0.8, 'gamma': 2, 'lambda': 5, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
13399,0.007900238037109375,0.0010198332579191285,0.002099895477294922,0.00019984344854450493,0.4,2,5,2,4,1,"{'alpha': 0.4, 'gamma': 2, 'lambda': 5, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
12967,0.008800792694091796,0.0014010917782166117,0.0021004676818847656,0.00020075444645186217,0.4,2,1,2,4,1,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
24199,0.006100225448608399,0.00037408789519589603,0.002099895477294922,0.00020032192914968378,0.8,2,9,2,4,1,"{'alpha': 0.8, 'gamma': 2, 'lambda': 9, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
7783,0.007499074935913086,0.0015171415588016704,0.0022002220153808593,0.0002447198073684945,0.2,2,1,2,4,1,"{'alpha': 0.2, 'gamma': 2, 'lambda': 1, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
29383,0.006900405883789063,0.00037469958555005374,0.002099943161010742,0.00019922285002326893,1.0,2,9,2,4,1,"{'alpha': 1.0, 'gamma': 2, 'lambda': 9, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
23335,0.008800077438354491,0.00024454380621906824,0.002500104904174805,6.468133910298603e-07,0.8,2,1,2,4,1,"{'alpha': 0.8, 'gamma': 2, 'lambda': 1, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
13831,0.007500457763671875,0.0006329752832288407,0.002199697494506836,0.00024514770111585925,0.4,2,9,2,4,1,"{'alpha': 0.4, 'gamma': 2, 'lambda': 9, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
28519,0.008399772644042968,0.0010671529884607762,0.0020997047424316405,0.00020017754525698483,1.0,2,1,2,4,1,"{'alpha': 1.0, 'gamma': 2, 'lambda': 1, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
8647,0.00800008773803711,0.0009487155311117638,0.0022001743316650392,0.000510015056030505,0.2,2,9,2,4,1,"{'alpha': 0.2, 'gamma': 2, 'lambda': 9, 'max_depth': 2, 'n_estimators': 4, 'subsample': 1}",0.338501600193165,0.26111648393354675,0.5222329678670935,0.5947886892886081,0.5014858873767987,0.4436251257318424,0.12388530460326186,4609,0.7938850306529861,0.6930446456246636,0.5581583727052727,0.7399525007176713,0.5356291250555023,0.6641339349512192,0.10115724086985896
