,Features Selected,Train Accuracy Score,Train MCC Score,Test Accuracy Score,Test MCC Score
0,57.0,0.9177673874926944,0.8585832788035273,0.700952380952381,0.47967040062502714
1,62.0,0.9008182349503213,0.8311722048558746,0.6857142857142857,0.4397473825260926
2,68.0,0.9005844535359439,0.8295339218399121,0.7019047619047619,0.48390720782373436
3,74.0,0.8767971946230274,0.7912695063377025,0.6590476190476191,0.39544602287285596
4,80.0,0.9282291057860899,0.8778448920375641,0.7142857142857143,0.5117836613059245
5,85.0,0.9282291057860901,0.8777325194136629,0.6742857142857143,0.4294754089765977
6,91.0,0.9176504967855056,0.8601186991501208,0.6457142857142857,0.387162328996506
7,97.0,0.9281706604324956,0.8776156256527564,0.6599999999999999,0.40731348661454847
8,102.0,0.9143191116306253,0.852770870313701,0.7,0.4694386477599002
9,108.0,0.9044418468731736,0.8360205069550635,0.6876190476190476,0.4495883394680817
10,114.0,0.9143191116306253,0.8529984198989101,0.6742857142857142,0.4449268164687554
