,Features Selected,Train Accuracy Score,Train MCC Score,Test Accuracy Score,Test MCC Score
0,114.0,0.7467562828755113,0.4869240592368981,0.6971428571428572,0.31672944127437086
1,120.0,0.7433080070134425,0.4896497675450662,0.6733333333333333,0.28946009425730107
2,125.0,0.7500876680303914,0.499876696704806,0.6314285714285715,0.17804057857666936
3,131.0,0.8080070134424314,0.6306105611751102,0.7114285714285714,0.4258450599381637
4,137.0,0.7704850964348334,0.5488865340929077,0.6561904761904762,0.2104924847841106
5,143.0,0.7566919929865575,0.5017840226500229,0.6457142857142857,0.1859569312438318
6,148.0,0.7774400935125658,0.5617751725033908,0.6180952380952381,0.1555842633919747
7,154.0,0.7911747516072472,0.5880762366844131,0.7266666666666667,0.45786881071607743
8,160.0,0.7607247223845703,0.5335264907368612,0.6838095238095238,0.28909582320048666
9,165.0,0.7876095850379896,0.5884243890606992,0.6847619047619047,0.3068730366245986
10,171.0,0.7603740502630041,0.5286780876187104,0.6304761904761904,0.13972190986165053
