,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4398,0.008321571350097656,0.004908238775626661,0.00063934326171875,4.6409411981020475e-05,0.2,entropy,2,0.3,7,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 0.3, 'n_estimators': 7}",0.39285714285714285,0.31133467586669866,0.3296342573721317,0.34992710611188255,0.31006201860620214,0.33876304016281156,0.030692692278171747,149,0.6667730874178597,0.6568078078269192,0.726756219907751,0.6373565646117068,0.7037725211272708,0.6782932401783015,0.03245921530575845
1590,0.009344530105590821,0.0029150782332275096,0.0006215572357177734,3.076098645564792e-05,0.0,entropy,9,1.0,7,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 1.0, 'n_estimators': 7}",0.24929411623818448,0.33505481671702403,0.2408233417864861,0.1865117742382477,0.27345140881161467,0.2570270915583114,0.04827598674579246,1004,0.967907557062632,0.9007223872682951,0.9680881624446643,0.8711389515090666,0.9034071230849223,0.922252836273916,0.039029683604185815
4885,0.011217975616455078,0.0030950403678931394,0.0007978439331054688,2.0327809099937755e-05,0.2,entropy,7,0.3,14,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 0.3, 'n_estimators': 14}",0.20965696734438366,0.33505481671702403,0.3296342573721317,0.34992710611188255,0.3131121455425747,0.30747705861759933,0.05030706747974366,356,0.8718871052302395,0.79953888741122,0.6883892379305554,0.7065164433130159,0.6678676435330003,0.7468398634836062,0.0770623970002075
5086,0.02101297378540039,0.004224127385276182,0.0010684967041015626,1.568323140004861e-05,0.2,entropy,9,0.3,23,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 0.3, 'n_estimators': 23}",0.20965696734438366,0.3427101402346148,0.3296342573721317,0.34992710611188255,0.3131121455425747,0.3090081233211175,0.051231087622392917,338,0.7711204372317738,0.6889638972539815,0.7605691098280839,0.7769729186492285,0.6702751848924265,0.7335803095710988,0.044763239617641275
982,0.014997053146362304,0.0035283575023183546,0.0011871337890625,0.00024674650034197797,0.0,entropy,3,sqrt,23,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 23}",0.20965696734438366,0.31133467586669866,0.3296342573721317,0.3764037045814055,0.31006201860620214,0.30741832475416436,0.054464924892663955,359,0.9049725810507373,0.8683325963286448,0.900937462695559,0.8736902278339034,0.9028413084609113,0.8901548352739512,0.015773843264614066
3181,0.007934093475341797,0.0011663021842889245,0.001230764389038086,0.0008551760554236646,0.1,entropy,8,sqrt,14,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 14}",0.24929411623818448,0.31750031750047625,0.3574523428645487,0.34992710611188255,0.2193817272381392,0.29871112199064626,0.05506693246678603,436,0.8718871052302395,0.900937462695559,0.8036420774175239,0.811826468589615,0.841549781645663,0.8459685791157201,0.03652421220568204
4989,0.01786031723022461,0.0026326960068600424,0.0018015861511230468,0.0010785158100538132,0.2,entropy,8,0.3,22,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 0.3, 'n_estimators': 22}",0.20965696734438366,0.31750031750047625,0.3592106040535498,0.34992710611188255,0.2669258885993638,0.30064417672193117,0.055782718194474834,418,0.843322748150635,0.7616843814045382,0.5473203936626259,0.8065934007325706,0.7352911787703865,0.7388424205441513,0.10268533239770973
3400,0.013048982620239258,0.006763693613253849,0.0009024143218994141,2.888114139648045e-05,0.1,entropy,10,log2,17,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 17}",0.20965696734438366,0.31750031750047625,0.2222502222503334,0.34992710611188255,0.22454435656953592,0.26477579395532236,0.05743813923688124,861,0.9362510162412889,0.7975050380494695,0.6993902515425411,0.8426765713727793,0.8705898380779445,0.8292825430568046,0.07900603026507531
75,0.0033737659454345704,0.00195827833735272,0.0007536411285400391,0.0005036867489727465,0.0,gini,2,0.3,4,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 2, 'max_features': 0.3, 'n_estimators': 4}",0.20965696734438366,0.31750031750047625,0.3733643283161719,0.34992710611188255,0.3558350347521794,0.32125675080501875,0.0586540179149992,232,0.7701275978755472,0.7287400240984707,0.7641394557548453,0.666691980446265,0.7357424629180375,0.7330883042186331,0.03679811733015179
2861,0.005671834945678711,0.0018151807556994206,0.0008626937866210938,0.0005439340759653739,0.1,entropy,4,0.3,6,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 0.3, 'n_estimators': 6}",0.23845524161913298,0.31750031750047625,0.3427101402346148,0.38635623073303615,0.40594951522653155,0.3381942890627584,0.05883341610639985,152,0.903010033444816,0.866596902159757,0.8998552473449543,0.9061751029291132,0.8055906028357454,0.8762455777428771,0.03809134149711598
182,0.011409997940063477,0.0026999164529473273,0.001688241958618164,0.0009707368489088396,0.0,gini,3,0.3,15,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 3, 'max_features': 0.3, 'n_estimators': 15}",0.38575837490522974,0.2333141313143457,0.36293309315564887,0.34992710611188255,0.4010620662570349,0.3465989543488283,0.059348163563351125,119,0.9038611199011745,0.933804358978755,0.9022981552263626,0.9364431667772632,0.9353894565800831,0.9223592514927276,0.015771885464420692
2894,0.00912318229675293,0.0026333739435991706,0.0008821964263916015,0.00013121943473260565,0.1,entropy,5,sqrt,15,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 15}",0.20965696734438366,0.3592106040535498,0.32995600879804493,0.34992710611188255,0.22119475133243585,0.29398908752805936,0.06494220421797477,481,0.9049725810507373,0.8683325963286448,0.8661012141379973,0.8426765713727793,0.9681218127178343,0.8900409551215986,0.04383451303163367
