,Features Selected,Train Accuracy Score,Train MCC Score,Test Accuracy Score,Test MCC Score
0,28.0,0.7603156049094097,0.5280901968529763,0.6980952380952381,0.334199960496197
1,57.0,0.7708942139099941,0.540609034021228,0.7123809523809523,0.3776344061725867
2,85.0,0.7670368205727646,0.5399419024548491,0.6304761904761904,0.1622967145534071
3,114.0,0.8048509643483343,0.6210131043958965,0.7133333333333333,0.39862064374782025
4,143.0,0.7736995908825247,0.5390579674331198,0.6857142857142857,0.3119852887372544
5,171.0,0.8218585622443015,0.6570776582725899,0.7,0.3554282574475258
6,200.0,0.8218585622443015,0.6555187997411805,0.659047619047619,0.2751748271596949
7,228.0,0.8254821741671536,0.6690787901462806,0.6857142857142857,0.3343578482892823
8,257.0,0.7909994155464641,0.5805099531974715,0.7152380952380952,0.4140755034553291
9,286.0,0.7948568088836938,0.5977323894285621,0.6857142857142857,0.3267040221651659
