,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_break_ties,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0009008407592773438,0.00020032124812370853,0.0009007930755615234,0.00020101389245015823,1,False,,0.1,"{'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}",0.46573787123862104,0.5288298563329726,0.3582488604159193,0.4807619738204116,0.5114564359960938,0.4690069995608036,0.059660641720862655,19,0.9709901832329761,0.9436853723733581,0.9412360688956434,0.9454757578040066,0.9181368650092948,0.9439048494630559,0.0167764277554122
1,0.0009003639221191406,0.00019984464318784884,0.0009004592895507813,0.0001998903073426603,1,False,,0.01,"{'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 0.01}",0.46573787123862104,0.5288298563329726,0.3582488604159193,0.4807619738204116,0.5114564359960938,0.4690069995608036,0.059660641720862655,19,0.9709901832329761,0.9436853723733581,0.9412360688956434,0.9454757578040066,0.9181368650092948,0.9439048494630559,0.0167764277554122
2,0.0011008739471435546,0.0001995102055382713,0.0010003089904785157,3.8738433859996607e-07,1,False,,0.001,"{'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.46573787123862104,0.5288298563329726,0.3582488604159193,0.4807619738204116,0.5114564359960938,0.4690069995608036,0.059660641720862655,19,0.9709901832329761,0.9436853723733581,0.9412360688956434,0.9454757578040066,0.9181368650092948,0.9439048494630559,0.0167764277554122
3,0.0008997917175292969,0.00020110716675311426,0.0009999275207519531,1.3231694150458916e-06,1,False,,0.0001,"{'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 0.0001}",0.46573787123862104,0.5288298563329726,0.3582488604159193,0.4807619738204116,0.5114564359960938,0.4690069995608036,0.059660641720862655,19,0.9709901832329761,0.9436853723733581,0.9412360688956434,0.9454757578040066,0.9181368650092948,0.9439048494630559,0.0167764277554122
4,0.0008996009826660156,0.00020017731808484704,0.0008999347686767578,0.0001993902203099301,1,False,,scale,"{'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}",0.46573787123862104,0.5288298563329726,0.3582488604159193,0.4807619738204116,0.5114564359960938,0.4690069995608036,0.059660641720862655,19,0.9709901832329761,0.9436853723733581,0.9412360688956434,0.9454757578040066,0.9181368650092948,0.9439048494630559,0.0167764277554122
5,0.0009996891021728516,3.371747880871523e-07,0.0010002613067626952,6.843900725558913e-07,1,False,,auto,"{'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 'auto'}",0.46573787123862104,0.5288298563329726,0.3582488604159193,0.4807619738204116,0.5114564359960938,0.4690069995608036,0.059660641720862655,19,0.9709901832329761,0.9436853723733581,0.9412360688956434,0.9454757578040066,0.9181368650092948,0.9439048494630559,0.0167764277554122
23,0.0009000301361083984,0.00020039197165741857,0.0009998321533203126,6.675720214843751e-07,1,True,balanced,auto,"{'C': 1, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 'auto'}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
22,0.0010999202728271484,0.00019950895190902409,0.0007994651794433593,0.0002448342851440466,1,True,balanced,scale,"{'C': 1, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 'scale'}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
21,0.001000833511352539,5.917393515582494e-07,0.0008994102478027344,0.00020020044288588895,1,True,balanced,0.0001,"{'C': 1, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.0001}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
20,0.0010001182556152344,7.893059424041199e-07,0.0010003089904785157,2.431401974483864e-07,1,True,balanced,0.001,"{'C': 1, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.001}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
18,0.0008994102478027344,0.00019961229289941712,0.0009000301361083984,0.0002006333354116006,1,True,balanced,0.1,"{'C': 1, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.1}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
19,0.0008003711700439453,0.0002448931380604518,0.0008999347686767578,0.0001999861294723434,1,True,balanced,0.01,"{'C': 1, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.01}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
6,0.0010994911193847657,0.0003743815093415874,0.0008000373840332031,0.000244427099387622,1,False,balanced,0.1,"{'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.1}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
11,0.0010007858276367188,1.649057051257189e-06,0.000999593734741211,8.34124359347148e-07,1,False,balanced,auto,"{'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'auto'}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
7,0.0011994361877441407,0.00024542041894068525,0.000800466537475586,0.0002450682110390762,1,False,balanced,0.01,"{'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.01}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
8,0.0012006282806396485,0.0002446404849664123,0.0008995532989501953,0.0003737190047269485,1,False,balanced,0.001,"{'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.001}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
9,0.0010000705718994141,1.2305725002826633e-06,0.0009990692138671874,1.2119545962466082e-06,1,False,balanced,0.0001,"{'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.0001}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
10,0.0010003089904785157,0.00031492387292862033,0.0009002208709716797,0.00020012881092875952,1,False,balanced,scale,"{'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}",0.37130532861625287,0.5288298563329726,0.5821543981758689,0.4807619738204116,0.5114564359960938,0.49490159858832,0.07002029318795477,1,0.9709901832329761,0.9172061212785081,0.9172061212785081,0.9454757578040066,0.9181368650092948,0.9338030097206588,0.02151966739376929
