,Classification Model,Regression Model,Training RMSE,Validation RMSE,Log Training RMSE,Log Validation RMSE,Trimmed Training RMSE,Trimmed Validation RMSE,Trimmed Log Training RMSE,Trimmed Log Validation RMSE,Training MCC,Validation MCC
0,SVC with Linear Kernel,SVR with RBF Kernel,3137468.9230967863,1743145.4276427538,1.470243980028941,1.9398152525312213,403.21966017162964,95699.96257833528,0.9000038053806095,1.7193098061592416,0.9495408958424351,0.7957743409951116
1,SVC with Linear Kernel,SVR with Linear Kernel,3137468.905512415,1743145.3164730587,1.452849777811593,1.9668111137860929,375.22750741265384,95739.7367783063,0.8670084013621722,1.753803383053058,0.9495408958424351,0.7957743409951116
2,SVC with Linear Kernel,Lasso Regression,3137468.949534905,1743147.2302262106,1.6550307243827451,1.9443498560140724,467.8441616352278,95670.05216958042,1.2115016998465604,1.7186579282591736,0.9495408958424351,0.7957743409951116
3,XGBoost Classifier,SVR with RBF Kernel,3131432.6192053957,1691109.0742167043,1.7707186282856562,1.8898308946610716,143499.4238716905,1599647.8911612069,1.5547077871367159,1.8415003850538372,0.6808789894897688,0.534842769878904
4,XGBoost Classifier,SVR with Linear Kernel,3131425.920739338,1691093.5676374012,1.8004363519220827,1.9571385013821012,143486.10255782324,1599621.522510558,1.5959181537823923,1.9179149813355791,0.6808789894897688,0.534842769878904
5,XGBoost Classifier,Lasso Regression,3131432.6251946674,1691114.3042471346,1.843261664946747,1.8244763214147235,143503.09104884395,1599640.4694740344,1.6468507884364745,1.765576400141628,0.6808789894897688,0.534842769878904
6,Random Forest Classifier,SVR with RBF Kernel,3137468.9495127434,1743144.8328123621,1.61273804389585,2.2821188802372747,43426.0103317784,1658817.3564920847,1.2371501304730568,2.204295969138323,0.7802960031687665,0.2966654163838825
7,Random Forest Classifier,SVR with Linear Kernel,3137469.078436435,1743115.0493777252,1.6781601507062607,2.0598391360650474,56304.04336759089,1728375.7036453292,1.3033369056664101,1.9657255090921364,0.8202557503331478,0.4128169369765313
8,Random Forest Classifier,Lasso Regression,3137469.0522874785,1743143.9953103133,1.6209866850501768,2.295852959344968,44010.784960144854,36709.4160396816,1.24801849653925,2.1515632401958604,0.832222244382263,0.3548836915337284
