,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_gamma,param_lambda,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
300,0.008006954193115234,0.0008373688119904751,0.002702474594116211,0.0006789431606439413,0.0,0,1,8,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 8, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8018996264920133,0.8376177824220522,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8321911065296591,0.025955596292969264
396,0.0059051990509033205,0.0010205389728299148,0.0019014358520507812,0.00037430433384945123,0.0,0,1,10,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 10, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8018996264920133,0.8376177824220522,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8321911065296591,0.025955596292969264
252,0.007506561279296875,0.0015178171697213191,0.002602243423461914,0.0004903393867881656,0.0,0,1,7,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 7, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8018996264920133,0.8376177824220522,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8321911065296591,0.025955596292969264
636,0.011109399795532226,0.007959196629440632,0.002302122116088867,0.000245048067727345,0.0,0,5,6,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 5, 'max_depth': 6, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8018996264920133,0.8376177824220522,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8321911065296591,0.025955596292969264
1116,0.0070059776306152345,0.00031665722787489373,0.002101755142211914,0.00020022395111941386,0.0,0,9,7,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 9, 'max_depth': 7, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8018996264920133,0.8376177824220522,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8321911065296591,0.025955596292969264
924,0.006005191802978515,0.0010499604125773635,0.0020017147064208983,0.00031650654649026833,0.0,0,9,3,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 9, 'max_depth': 3, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8353687407311664,0.869780116657943,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8453173962246678,0.02442529818144365
1068,0.007005929946899414,0.0003164310567359638,0.0021019458770751955,0.0002001286405081905,0.0,0,9,6,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 9, 'max_depth': 6, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8018996264920133,0.8376177824220522,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8321911065296591,0.025955596292969264
492,0.008007001876831055,0.001762490483829062,0.002301788330078125,0.0004002929257467515,0.0,0,5,3,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 5, 'max_depth': 3, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8353687407311664,0.869780116657943,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8453173962246678,0.02442529818144365
204,0.005804967880249023,0.0010302803816119239,0.0018017292022705078,0.0005103607283731452,0.0,0,1,6,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 1, 'max_depth': 6, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8018996264920133,0.8376177824220522,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8321911065296591,0.025955596292969264
732,0.007206392288208008,0.0005102859520089379,0.0021018028259277345,0.00020020015895315458,0.0,0,5,8,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 5, 'max_depth': 8, 'n_estimators': 7, 'subsample': 0.5}",0.32995600879804493,0.27419354838709675,0.31133467586669866,0.34992710611188255,0.1700340102034012,0.2870890698734248,0.06362739053239737,244,0.8018996264920133,0.8376177824220522,0.8353687407311664,0.810048495212002,0.8760208877910617,0.8321911065296591,0.025955596292969264
