,Features Selected,Train Accuracy Score,Train MCC Score,Test Accuracy Score,Test MCC Score
0,28.0,0.7604324956165984,0.5657224394638645,0.7419047619047618,0.5452338542264761
1,57.0,0.7741087083576856,0.5929047858493075,0.7419047619047618,0.5354658495035685
2,85.0,0.7568673290473408,0.5579161629032627,0.6866666666666666,0.4149107945794609
3,114.0,0.7466393921683225,0.5411435379444688,0.6742857142857143,0.4063639664796394
4,143.0,0.7361192285213326,0.5268774907010545,0.6180952380952381,0.3051223680595853
5,171.0,0.7362361192285214,0.5283524666647739,0.6190476190476191,0.26485100222125274
6,200.0,0.7292226767971945,0.5155140426906488,0.6876190476190476,0.4174848220713304
7,228.0,0.6817066043249562,0.43777611612801764,0.5209523809523808,0.1282952259082648
8,257.0,0.6850964348334307,0.43466024296159994,0.5495238095238094,0.17553112561638695
9,286.0,0.7158386908240795,0.4885311519718846,0.6057142857142856,0.2886168642607224
