,Features Selected,Train Accuracy Score,Train MCC Score,Test Accuracy Score,Test MCC Score
0,28.0,0.7774985388661599,0.6294334965174655,0.7266666666666667,0.5669336684270924
1,57.0,0.7706019871420221,0.6169838341313858,0.7266666666666667,0.5669336684270924
2,85.0,0.7740502630040911,0.6239859897823103,0.7123809523809523,0.5496204733020358
3,114.0,0.7843950905902981,0.6382637251838545,0.7,0.517834459096955
4,143.0,0.7603740502630041,0.5968298970077286,0.6723809523809523,0.4587677441096429
5,171.0,0.7775569842197545,0.6262805906436453,0.659047619047619,0.43565951805076597
6,200.0,0.7946230274693162,0.6547257193069848,0.6733333333333333,0.46823640686802276
7,228.0,0.7706604324956166,0.6142419599786615,0.6466666666666667,0.4297680905016271
8,257.0,0.8082407948568088,0.6836432247979384,0.6009523809523809,0.38487910611242776
9,286.0,0.8082407948568088,0.6836432247979384,0.5866666666666667,0.360336506652125
