2022-11-24 03:05:58,126 | INFO | Threshold of 10.00 provides Large bucket size: 19, Small Bucket size: 45, Extra Bucket size: 9

2022-11-24 03:05:58,134 | INFO | SVC with RBF Kernel Results:

2022-11-24 03:05:58,134 | INFO | GridSearchCV Starting
2022-11-24 03:06:03,999 | INFO | Best parameter set: {'C': 31, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}
2022-11-24 03:06:03,999 | INFO | -------------------------

2022-11-24 03:06:04,000 | INFO | Train MCC Score: 0.886.  StDev for Train MCC: 0.025.  Test MCC Score: 0.332.  StDev for Test MCC: 0.103.

2022-11-24 03:06:04,000 | INFO | Training:
2022-11-24 03:06:04,005 | INFO | Training Finished.
2022-11-24 03:06:04,011 | INFO | Training Accuracy: 0.931, Training MCC: 0.870, Validation Accuracy: 0.733, Validation MCC: 0.476, Fold: 1
2022-11-24 03:06:04,011 | INFO | Training:
2022-11-24 03:06:04,016 | INFO | Training Finished.
2022-11-24 03:06:04,022 | INFO | Training Accuracy: 0.948, Training MCC: 0.902, Validation Accuracy: 0.600, Validation MCC: 0.191, Fold: 2
2022-11-24 03:06:04,022 | INFO | Training:
2022-11-24 03:06:04,026 | INFO | Training Finished.
2022-11-24 03:06:04,033 | INFO | Training Accuracy: 0.931, Training MCC: 0.869, Validation Accuracy: 0.533, Validation MCC: 0.104, Fold: 3
2022-11-24 03:06:04,033 | INFO | Training:
2022-11-24 03:06:04,037 | INFO | Training Finished.
2022-11-24 03:06:04,043 | INFO | Training Accuracy: 0.948, Training MCC: 0.905, Validation Accuracy: 0.733, Validation MCC: 0.494, Fold: 4
2022-11-24 03:06:04,043 | INFO | Training:
2022-11-24 03:06:04,047 | INFO | Training Finished.
2022-11-24 03:06:04,055 | INFO | Training Accuracy: 0.948, Training MCC: 0.904, Validation Accuracy: 0.667, Validation MCC: 0.318, Fold: 5
2022-11-24 03:06:04,055 | INFO | AVG Training Accuracy: 0.941, AVG Training MCC: 0.890, AVG Validation Accuracy: 0.653, AVG Validation MCC: 0.317

2022-11-24 03:06:04,055 | INFO | Forward Selection Starting
2022-11-24 04:02:07,728 | INFO | Forward Selection Finished
2022-11-24 04:02:07,731 | INFO | SFS only results:

2022-11-24 04:02:07,731 | INFO | GridSearchCV Starting
2022-11-24 04:02:10,025 | INFO | Best parameter set: {'C': 26, 'break_ties': False, 'class_weight': None, 'gamma': 'auto'}
2022-11-24 04:02:10,025 | INFO | -------------------------

2022-11-24 04:02:10,026 | INFO | Train MCC Score: 0.899.  StDev for Train MCC: 0.036.  Test MCC Score: 0.399.  StDev for Test MCC: 0.134.

2022-11-24 04:02:10,026 | INFO | Training:
2022-11-24 04:02:10,029 | INFO | Training Finished.
2022-11-24 04:02:10,033 | INFO | Training Accuracy: 0.931, Training MCC: 0.874, Validation Accuracy: 0.733, Validation MCC: 0.484, Fold: 1
2022-11-24 04:02:10,033 | INFO | Training:
2022-11-24 04:02:10,035 | INFO | Training Finished.
2022-11-24 04:02:10,039 | INFO | Training Accuracy: 0.966, Training MCC: 0.936, Validation Accuracy: 0.667, Validation MCC: 0.359, Fold: 2
2022-11-24 04:02:10,039 | INFO | Training:
2022-11-24 04:02:10,041 | INFO | Training Finished.
2022-11-24 04:02:10,045 | INFO | Training Accuracy: 0.983, Training MCC: 0.968, Validation Accuracy: 0.600, Validation MCC: 0.265, Fold: 3
2022-11-24 04:02:10,045 | INFO | Training:
2022-11-24 04:02:10,047 | INFO | Training Finished.
2022-11-24 04:02:10,051 | INFO | Training Accuracy: 0.948, Training MCC: 0.905, Validation Accuracy: 0.733, Validation MCC: 0.494, Fold: 4
2022-11-24 04:02:10,051 | INFO | Training:
2022-11-24 04:02:10,053 | INFO | Training Finished.
2022-11-24 04:02:10,056 | INFO | Training Accuracy: 0.931, Training MCC: 0.872, Validation Accuracy: 0.733, Validation MCC: 0.476, Fold: 5
2022-11-24 04:02:10,057 | INFO | AVG Training Accuracy: 0.952, AVG Training MCC: 0.911, AVG Validation Accuracy: 0.693, AVG Validation MCC: 0.416

2022-11-24 04:02:10,058 | INFO | Results after PCA:
2022-11-24 04:02:10,058 | INFO | ------------------

2022-11-24 04:02:10,058 | INFO | PCA Starting
2022-11-24 04:02:10,111 | INFO | Selecting 19 principal components making up 75% of the variance.

2022-11-24 04:02:10,111 | INFO | PCA Finished
2022-11-24 04:02:10,111 | INFO | GridSearchCV Starting
2022-11-24 04:02:10,992 | INFO | Best parameter set: {'C': 71, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}
2022-11-24 04:02:10,992 | INFO | -------------------------

2022-11-24 04:02:10,993 | INFO | Train MCC Score: 0.714.  StDev for Train MCC: 0.088.  Test MCC Score: 0.446.  StDev for Test MCC: 0.170.

2022-11-24 04:02:10,993 | INFO | Training:
2022-11-24 04:02:10,994 | INFO | Training Finished.
2022-11-24 04:02:10,996 | INFO | Training Accuracy: 0.845, Training MCC: 0.710, Validation Accuracy: 0.800, Validation MCC: 0.635, Fold: 1
2022-11-24 04:02:10,996 | INFO | Training:
2022-11-24 04:02:10,997 | INFO | Training Finished.
2022-11-24 04:02:10,998 | INFO | Training Accuracy: 0.845, Training MCC: 0.698, Validation Accuracy: 0.867, Validation MCC: 0.770, Fold: 2
2022-11-24 04:02:10,998 | INFO | Training:
2022-11-24 04:02:10,999 | INFO | Training Finished.
