2022-11-24 11:37:28,070 | INFO | Threshold of 0.50 provides Large bucket size: 34, Small Bucket size: 30, Extra Bucket size: 9
2022-11-24 12:37:34,036 | INFO | PCA Finished
2022-11-24 12:37:34,036 | INFO | GridSearchCV Starting
2022-11-24 12:37:34,969 | INFO | Best parameter set: {'C': 66, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2022-11-24 12:37:34,969 | INFO | -------------------------

2022-11-24 12:37:34,970 | INFO | Train MCC Score: 0.926.  StDev for Train MCC: 0.015.  Test MCC Score: 0.177.  StDev for Test MCC: 0.314.

2022-11-24 12:37:34,970 | INFO | Training:
2022-11-24 12:37:34,971 | INFO | Training Finished.
2022-11-24 12:37:34,973 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.667, Validation MCC: 0.421, Fold: 1
2022-11-24 12:37:34,973 | INFO | Training:
2022-11-24 12:37:34,974 | INFO | Training Finished.
2022-11-24 12:37:34,975 | INFO | Training Accuracy: 0.931, Training MCC: 0.887, Validation Accuracy: 0.533, Validation MCC: 0.186, Fold: 2
2022-11-24 12:37:34,975 | INFO | Training:
2022-11-24 12:37:34,976 | INFO | Training Finished.
2022-11-24 12:37:34,978 | INFO | Training Accuracy: 0.966, Training MCC: 0.944, Validation Accuracy: 0.467, Validation MCC: 0.079, Fold: 3
2022-11-24 12:37:34,978 | INFO | Training:
2022-11-24 12:37:34,979 | INFO | Training Finished.
2022-11-24 12:37:34,980 | INFO | Training Accuracy: 0.966, Training MCC: 0.942, Validation Accuracy: 0.667, Validation MCC: 0.431, Fold: 4
2022-11-24 12:37:34,980 | INFO | Training:
2022-11-24 12:37:34,981 | INFO | Training Finished.
2022-11-24 12:37:34,983 | INFO | Training Accuracy: 0.914, Training MCC: 0.856, Validation Accuracy: 0.467, Validation MCC: 0.065, Fold: 5
2022-11-24 12:37:34,983 | INFO | AVG Training Accuracy: 0.945, AVG Training MCC: 0.909, AVG Validation Accuracy: 0.560, AVG Validation MCC: 0.237

2022-11-24 12:37:34,983 | INFO | PCA Starting
2022-11-24 12:37:34,985 | INFO | Selecting 8 principal components making up 85% of the variance.

2022-11-24 12:37:34,985 | INFO | PCA Finished
2022-11-24 12:37:34,985 | INFO | GridSearchCV Starting
2022-11-24 12:37:35,908 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2022-11-24 12:37:35,909 | INFO | -------------------------

2022-11-24 12:37:35,909 | INFO | Train MCC Score: 0.837.  StDev for Train MCC: 0.023.  Test MCC Score: 0.274.  StDev for Test MCC: 0.175.

2022-11-24 12:37:35,909 | INFO | Training:
2022-11-24 12:37:35,911 | INFO | Training Finished.
2022-11-24 12:37:35,912 | INFO | Training Accuracy: 0.845, Training MCC: 0.756, Validation Accuracy: 0.800, Validation MCC: 0.664, Fold: 1
2022-11-24 12:37:35,912 | INFO | Training:
2022-11-24 12:37:35,913 | INFO | Training Finished.
2022-11-24 12:37:35,915 | INFO | Training Accuracy: 0.862, Training MCC: 0.771, Validation Accuracy: 0.800, Validation MCC: 0.665, Fold: 2
2022-11-24 12:37:35,915 | INFO | Training:
2022-11-24 12:37:35,916 | INFO | Training Finished.
2022-11-24 12:37:35,917 | INFO | Training Accuracy: 0.914, Training MCC: 0.860, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 3
2022-11-24 12:37:35,917 | INFO | Training:
2022-11-24 12:37:35,918 | INFO | Training Finished.
2022-11-24 12:37:35,919 | INFO | Training Accuracy: 0.897, Training MCC: 0.833, Validation Accuracy: 0.733, Validation MCC: 0.550, Fold: 4
2022-11-24 12:37:35,919 | INFO | Training:
2022-11-24 12:37:35,920 | INFO | Training Finished.
2022-11-24 12:37:35,922 | INFO | Training Accuracy: 0.879, Training MCC: 0.807, Validation Accuracy: 0.600, Validation MCC: 0.322, Fold: 5
2022-11-24 12:37:35,922 | INFO | AVG Training Accuracy: 0.879, AVG Training MCC: 0.806, AVG Validation Accuracy: 0.667, AVG Validation MCC: 0.440

2022-11-24 12:37:35,923 | INFO | PCA Starting
2022-11-24 12:37:35,924 | INFO | Selecting 10 principal components making up 90% of the variance.

2022-11-24 12:37:35,924 | INFO | PCA Finished
2022-11-24 12:37:35,924 | INFO | GridSearchCV Starting
2022-11-24 12:37:36,854 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2022-11-24 12:37:36,854 | INFO | -------------------------

2022-11-24 12:37:36,854 | INFO | Train MCC Score: 0.852.  StDev for Train MCC: 0.030.  Test MCC Score: 0.183.  StDev for Test MCC: 0.268.

2022-11-24 12:37:36,854 | INFO | Training:
2022-11-24 12:37:36,856 | INFO | Training Finished.
2022-11-24 12:37:36,857 | INFO | Training Accuracy: 0.845, Training MCC: 0.757, Validation Accuracy: 0.733, Validation MCC: 0.545, Fold: 1
2022-11-24 12:37:36,857 | INFO | Training:
2022-11-24 12:37:36,858 | INFO | Training Finished.
2022-11-24 12:37:36,860 | INFO | Training Accuracy: 0.879, Training MCC: 0.799, Validation Accuracy: 0.800, Validation MCC: 0.665, Fold: 2
2022-11-24 12:37:36,860 | INFO | Training:
2022-11-24 12:37:36,861 | INFO | Training Finished.
2022-11-24 12:37:36,862 | INFO | Training Accuracy: 0.897, Training MCC: 0.835, Validation Accuracy: 0.467, Validation MCC: 0.092, Fold: 3
2022-11-24 12:37:36,862 | INFO | Training:
2022-11-24 12:37:36,863 | INFO | Training Finished.
2022-11-24 12:37:36,865 | INFO | Training Accuracy: 0.897, Training MCC: 0.836, Validation Accuracy: 0.667, Validation MCC: 0.447, Fold: 4
2022-11-24 12:37:36,865 | INFO | Training:
2022-11-24 12:37:36,866 | INFO | Training Finished.
2022-11-24 12:37:36,867 | INFO | Training Accuracy: 0.879, Training MCC: 0.806, Validation Accuracy: 0.667, Validation MCC: 0.429, Fold: 5
2022-11-24 12:37:36,867 | INFO | AVG Training Accuracy: 0.879, AVG Training MCC: 0.806, AVG Validation Accuracy: 0.667, AVG Validation MCC: 0.435

2022-11-24 12:37:36,868 | INFO | PCA Starting
2022-11-24 12:37:36,869 | INFO | Selecting 12 principal components making up 95% of the variance.

2022-11-24 12:37:36,869 | INFO | PCA Finished
2022-11-24 12:37:36,869 | INFO | GridSearchCV Starting
2022-11-24 12:37:37,813 | INFO | Best parameter set: {'C': 66, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 'scale'}
2022-11-24 12:37:37,813 | INFO | -------------------------

2022-11-24 12:37:37,813 | INFO | Train MCC Score: 0.983.  StDev for Train MCC: 0.014.  Test MCC Score: 0.256.  StDev for Test MCC: 0.295.

2022-11-24 12:37:37,813 | INFO | Training:
2022-11-24 12:37:37,815 | INFO | Training Finished.
2022-11-24 12:37:37,816 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.667, Validation MCC: 0.446, Fold: 1
2022-11-24 12:37:37,816 | INFO | Training:
2022-11-24 12:37:37,817 | INFO | Training Finished.
2022-11-24 12:37:37,819 | INFO | Training Accuracy: 0.983, Training MCC: 0.972, Validation Accuracy: 0.600, Validation MCC: 0.300, Fold: 2
2022-11-24 12:37:37,819 | INFO | Training:
2022-11-24 12:37:37,820 | INFO | Training Finished.
2022-11-24 12:37:37,822 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.467, Validation MCC: 0.050, Fold: 3
2022-11-24 12:37:37,822 | INFO | Training:
2022-11-24 12:37:37,823 | INFO | Training Finished.
2022-11-24 12:37:37,824 | INFO | Training Accuracy: 0.983, Training MCC: 0.972, Validation Accuracy: 0.600, Validation MCC: 0.321, Fold: 4
2022-11-24 12:37:37,824 | INFO | Training:
2022-11-24 12:37:37,825 | INFO | Training Finished.
2022-11-24 12:37:37,827 | INFO | Training Accuracy: 0.983, Training MCC: 0.972, Validation Accuracy: 0.667, Validation MCC: 0.485, Fold: 5
2022-11-24 12:37:37,827 | INFO | AVG Training Accuracy: 0.990, AVG Training MCC: 0.983, AVG Validation Accuracy: 0.600, AVG Validation MCC: 0.320

2022-11-24 12:37:37,828 | INFO | PCA Starting
2022-11-24 12:37:37,829 | INFO | Selecting 27 principal components making up 100% of the variance.

2022-11-24 12:37:37,829 | INFO | PCA Finished
2022-11-24 12:37:37,829 | INFO | GridSearchCV Starting
2022-11-24 12:37:38,859 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2022-11-24 12:37:38,859 | INFO | -------------------------

2022-11-24 12:37:38,860 | INFO | Train MCC Score: 0.722.  StDev for Train MCC: 0.069.  Test MCC Score: 0.210.  StDev for Test MCC: 0.225.

2022-11-24 12:37:38,860 | INFO | Training:
2022-11-24 12:37:38,861 | INFO | Training Finished.
2022-11-24 12:37:38,863 | INFO | Training Accuracy: 0.828, Training MCC: 0.712, Validation Accuracy: 0.800, Validation MCC: 0.664, Fold: 1
2022-11-24 12:37:38,863 | INFO | Training:
2022-11-24 12:37:38,864 | INFO | Training Finished.
2022-11-24 12:37:38,866 | INFO | Training Accuracy: 0.828, Training MCC: 0.706, Validation Accuracy: 0.667, Validation MCC: 0.429, Fold: 2
2022-11-24 12:37:38,866 | INFO | Training:
2022-11-24 12:37:38,867 | INFO | Training Finished.
2022-11-24 12:37:38,868 | INFO | Training Accuracy: 0.845, Training MCC: 0.740, Validation Accuracy: 0.400, Validation MCC: -0.057, Fold: 3
2022-11-24 12:37:38,868 | INFO | Training:
2022-11-24 12:37:38,869 | INFO | Training Finished.
2022-11-24 12:37:38,871 | INFO | Training Accuracy: 0.828, Training MCC: 0.712, Validation Accuracy: 0.600, Validation MCC: 0.343, Fold: 4
2022-11-24 12:37:38,871 | INFO | Training:
2022-11-24 12:37:38,872 | INFO | Training Finished.
2022-11-24 12:37:38,873 | INFO | Training Accuracy: 0.845, Training MCC: 0.744, Validation Accuracy: 0.600, Validation MCC: 0.297, Fold: 5
2022-11-24 12:37:38,873 | INFO | AVG Training Accuracy: 0.834, AVG Training MCC: 0.723, AVG Validation Accuracy: 0.613, AVG Validation MCC: 0.335

2022-11-24 12:37:38,881 | INFO | XGBoost Classifier Results:

2022-11-24 12:37:38,881 | INFO | GridSearchCV Starting
2022-11-24 12:59:03,270 | INFO | Best parameter set: {'alpha': 0.4, 'gamma': 1, 'lambda': 1, 'max_depth': 3, 'n_estimators': 5, 'subsample': 1}
2022-11-24 12:59:03,271 | INFO | -------------------------

2022-11-24 12:59:03,277 | INFO | Train MCC Score: 0.950.  StDev for Train MCC: 0.021.  Test MCC Score: 0.217.  StDev for Test MCC: 0.204.

2022-11-24 12:59:03,279 | INFO | Training:
2022-11-24 12:59:03,364 | INFO | Training Finished.
2022-11-24 12:59:03,373 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.733, Validation MCC: 0.557, Fold: 1
2022-11-24 12:59:03,373 | INFO | Training:
2022-11-24 12:59:03,693 | INFO | Training Finished.
2022-11-24 12:59:03,713 | INFO | Training Accuracy: 0.966, Training MCC: 0.942, Validation Accuracy: 0.533, Validation MCC: 0.178, Fold: 2
2022-11-24 12:59:03,713 | INFO | Training:
2022-11-24 12:59:03,758 | INFO | Training Finished.
2022-11-24 12:59:03,767 | INFO | Training Accuracy: 0.966, Training MCC: 0.944, Validation Accuracy: 0.600, Validation MCC: 0.311, Fold: 3
2022-11-24 12:59:03,767 | INFO | Training:
2022-11-24 12:59:03,824 | INFO | Training Finished.
2022-11-24 12:59:03,833 | INFO | Training Accuracy: 0.966, Training MCC: 0.944, Validation Accuracy: 0.667, Validation MCC: 0.429, Fold: 4
2022-11-24 12:59:03,833 | INFO | Training:
2022-11-24 12:59:03,880 | INFO | Training Finished.
2022-11-24 12:59:03,888 | INFO | Training Accuracy: 0.948, Training MCC: 0.913, Validation Accuracy: 0.533, Validation MCC: 0.173, Fold: 5
2022-11-24 12:59:03,888 | INFO | AVG Training Accuracy: 0.959, AVG Training MCC: 0.932, AVG Validation Accuracy: 0.613, AVG Validation MCC: 0.330

2022-11-24 12:59:03,889 | INFO | Forward Selection Starting
2022-11-24 15:09:15,447 | INFO | Forward Selection Finished
2022-11-24 15:09:15,449 | INFO | SFS only results:

2022-11-24 15:09:15,449 | INFO | GridSearchCV Starting
2022-11-24 15:19:12,841 | INFO | Best parameter set: {'alpha': 0.0, 'gamma': 1, 'lambda': 1, 'max_depth': 3, 'n_estimators': 5, 'subsample': 1}
2022-11-24 15:19:12,842 | INFO | -------------------------

2022-11-24 15:19:12,849 | INFO | Train MCC Score: 0.635.  StDev for Train MCC: 0.080.  Test MCC Score: 0.565.  StDev for Test MCC: 0.318.

2022-11-24 15:19:12,852 | INFO | Training:
2022-11-24 15:19:12,877 | INFO | Training Finished.
2022-11-24 15:19:12,883 | INFO | Training Accuracy: 0.793, Training MCC: 0.646, Validation Accuracy: 0.600, Validation MCC: 0.297, Fold: 1
2022-11-24 15:19:12,883 | INFO | Training:
2022-11-24 15:19:12,906 | INFO | Training Finished.
2022-11-24 15:19:12,912 | INFO | Training Accuracy: 0.759, Training MCC: 0.609, Validation Accuracy: 0.733, Validation MCC: 0.569, Fold: 2
2022-11-24 15:19:12,912 | INFO | Training:
2022-11-24 15:19:12,939 | INFO | Training Finished.
2022-11-24 15:19:12,944 | INFO | Training Accuracy: 0.793, Training MCC: 0.671, Validation Accuracy: 0.533, Validation MCC: 0.198, Fold: 3
2022-11-24 15:19:12,944 | INFO | Training:
2022-11-24 15:19:12,971 | INFO | Training Finished.
2022-11-24 15:19:12,976 | INFO | Training Accuracy: 0.776, Training MCC: 0.651, Validation Accuracy: 0.600, Validation MCC: 0.336, Fold: 4
2022-11-24 15:19:12,976 | INFO | Training:
2022-11-24 15:19:13,000 | INFO | Training Finished.
2022-11-24 15:19:13,006 | INFO | Training Accuracy: 0.793, Training MCC: 0.667, Validation Accuracy: 0.667, Validation MCC: 0.447, Fold: 5
2022-11-24 15:19:13,006 | INFO | AVG Training Accuracy: 0.783, AVG Training MCC: 0.649, AVG Validation Accuracy: 0.627, AVG Validation MCC: 0.369

2022-11-24 15:19:13,008 | INFO | Results after PCA:
2022-11-24 15:19:13,008 | INFO | ------------------

2022-11-24 15:19:13,008 | INFO | PCA Starting
2022-11-24 15:19:13,049 | INFO | Selecting 21 principal components making up 75% of the variance.

2022-11-24 15:19:13,049 | INFO | PCA Finished
2022-11-24 15:19:13,049 | INFO | GridSearchCV Starting
